term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
716-01-01,integrated services network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-01,شبكة خدماتِ متكاملةِ,"dienstintegrierendes Netz, nISN, Abkürzung",integrated services networkISN (abbreviation),red de servicios integradosRSI (abreviatura),"réseau à intégration de services, mRIS (abréviation) m",rete integrata nei serviziISN,"総合サービス網ISN, （略語）",종합 서비스망아이에스엔,sieć z integracją usług ISN (akronim),rede com integração de serviços,flertjänstnät,综合业务网ISN
716-01-02,integrated digital transmission and switching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-02,إرسال وتحويل رقمي متكامل,"integrierte digitale Übertragung und Vermittlung, f",integrated digital transmission and switching,transmisión y conmutación digitales integradas,"transmission et commutation numériques intégrées, f",trasmissione e commutazione numeriche integrate,ディジタル送信交換の統合化,종합 디지털 전송 교환,transmisja i komutacja cyfrowa zintegrowana,transmissão e comutação digitais integradas,digital uppkoppling,综合数字传输和交换
716-01-03,(integrated) digital network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-03,شبكة رقمية (متكامله),"integriertes Digitalnetz, nIDN, Abkürzung",(integrated) digital networkIDN (abbreviation),RDI (abreviatura)red digital integrada,"réseau numérique (intégré), mRNI (abréviation) m",rete numerica (integrata)IDN,"統合ディジタル網IDN, （略語）",종합 디지털 망아이디엔,sieć cyfrowa zintegrowana sieć cyfrowa IDN (akronim),rede digital (integrada),digitalt nät,综合数字网IDN
716-01-04,integrated services digital network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-04,شبكة خدمات رقمية متكاملة,"diensteintegrierendes Digitalnetz, nISDN, Abkürzung",integrated services digital networkISDN (abbreviation),RDSI (abreviatura)red digital de servicios integrados,"réseau numérique à intégration de services, mRNIS  (abréviation) m",rete numerica integrata nei seviziISDN,"サービス統合ディジタル網ISDN, （略語）",종합 정보 통신망아이에스디엔종합 서비스 디지털망,sieć cyfrowa z integracją usług ISDN (akronim),rede digital com integração de serviçosrede numérica com integração de serviços,digitalt flertjänstnätISDN,综合业务数字网ISDN
716-01-05,(network) operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-05,مشغِّل ( شبكة ),"Netzbetreiber, m",(network) operator,operador (de la red),"exploitant, mentité exploitante, f",gestore (di rete),網運用者運用者,망 운용자,operator sieci operator,operadorexplorador,nätoperatör,网络运营者
716-01-06,user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-06,مستخدم,"Nutzer, mBenutzer, m",user,usuario,"usager, m",utente,ユーザー,사용자,użytkownik,utente,användare,用户
716-01-07,interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-07,سطح بينيسطح تماس,"Schnittstelle, f",interface,interfaz,"interface, f",interfaccia,インタフェース,인터페이스접속,interfejs,interface,gränssnitt,接口
716-01-08,physical interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-08,سطح بيني فيزيائي,"physikalische Schnittstelle, f",physical interface,interfaz física,"interface matérielle, finterface physique  (terme déconseillé) f",interfaccia fisica,物理インタフェース,물리적 인터페이스물리적 접속,interfejs fizyczny,interface material,fysiskt gränssnitt,物理接口
716-01-09,physical interface specification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-09,مواصفات سطح بيني فيزيائي,"Spezifikation der physikalischen Schnittstelle, f",physical interface specificationphysical interface (deprecated in this sense),especificación de interfaz físicainterfaz física (desaconsejada en este sentido),"spécification d'interface matérielle, finterface matérielle  (terme déconseillé dans ce sens) f",specifica dell'interfaccia fisica,物理インタフェース仕様,물리적 인터페이스 시방서물리적 접속 시방서,specyfikacja interfejsu fizycznego,especificação de interface material,specifikation för fysiskt gränssnitt,物理接口规范
716-01-10,functional interface specification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-10,مواصفات سطح بيني وظيفي,"Spezifikation der funktionellen Schnittstelle, f",functional interface specification,especificación de interfaz funcional,"spécification d'interface fonctionnelle, f",spacifica di interfaccia funzionale,機能インタフェース仕様,기능 인터페이스 시방서기능 접속 시방서,specyfikacja funkcjonalna interfejsu,especificação de interface funcional,specifikation för funktionellt gränssnitt,功能接口规范
716-01-11,interface specification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-11,مواصفات سطح بيني,"Schnittstellenspezifikation, f",interface specification,especificación de una interfaz,"spécification d'interface, f",specifica di interfaccia,インタフェース仕様,인터페이스 시방서접속 시방서,specyfikacja interfejsu,especificação de interface,specifikation för gränssnitt,接口规范
716-01-12,functional group,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-12,مجموعة وظيفية,"Funktionsgruppe, f",functional groupfunctional grouping  (deprecated),agrupamiento funcional (desaconsejado)grupo funcional,"groupe fonctionnel, mgroupement fonctionnel  (terme déconseillé dans ce sens) m",gruppo funzionale,機能群,기능군,grupa funkcjonalna,grupo funcional,funktionsgrupp,功能组
716-01-13,reference point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=716-01-13,نقطة مرجعيه,"Referenzpunkt, m",reference point,punto de referencia,"point de référence, m",punto di riferimento,参照点,참조 지점,punkt odniesienia,ponto de referência,referenspunkt,参考点
