term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
602-01-01,power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-01,محطة توليدمحطة انتاج,"Kraftwerk, n",power station,central eléctrica,voimalaitos,"centrale électrique, f",centrale,発電所,발전소,цахилгаан станц,kraftstasjon,elektrownia,central eléctrica,elektrarna,"електрана, ж јд",kraftstation,电站发电厂
602-01-02,generation system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-02,نظام التوليد,"Kraftwerkspark, m",generation system,parque de generación,sähköntuotantojärjestelmä,"parc de production, m",parco di produzione,発電システム,발전 시스템,цахилгаан үйлдвэрлэлийн систем,produksjonssystem,system wytwórczy,parque de produção,proizvodni park,"систем производње, м јд",produktionssystem,发电系统
602-01-03,hydroelectric installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-03,تركيبات كهرومائية,"Wasserkraftanlage, f",hydroelectric installation,aprovechamiento hidroeléctrico,vesivoimalaitos,"aménagement hydro-électrique, m",impianto idroelettrico,水力発電設備,수력 설비,усан цахилгаан станцын байгууламж,vasskraftanlegg,obiekt wodno-elektroenergetyczny,aproveitamento hidroeléctrico,hidroelektrični postroj,"хидроенергетско постројење, с јд",vattenkraftanläggning,水力发电设施
602-01-04,hydroelectric power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-04,محطة توليد كهرومائية,"Wasserkraftwerk, n",hydroelectric power station,central hidroeléctrica,vesivoimalaitos,"centrale hydro-électrique, fusine hydro-électrique (CH) fcentrale hydraulique (déconseillé) f",centrale idroelettrica,水力発電所,수력 발전소,усан цахилгаан станц,vasskraftstasjon,elektrownia wodna,central hidroeléctrica,hidroelektrarnavodna elektrarna,"хидроелектрана, ж јд",vattenkraftstation,水电站
602-01-05,run-of-river power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-05,محطة توليد مائية بالانسياب السطحي,"Laufwasserkraftwerk, n",run-of-river power station,central de agua fluyente,jokivoimalaitos,"centrale au fil de l'eau, f",centrale ad acqua fluente,河川水流発電所,자류 발전소,урсгал усны усан цахилгаан станц,elvekraftstasjon,elektrownia wodna przepływowa,central a fio de água,pretočna elektrarna,"проточна хидроелектрана, ж јд",strömkraftstation,径流式水电站
602-01-06,pondage power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-06,محطة توليد مائية بخزان محدود,"Schwellkraftwerk, n",pondage power station,central de agua represada,patoallasvoimalaitos,"centrale d'éclusée, f",centrale con serbatoio settimanale,貯水式発電所,조정지 발전소,усны нөөцтэй усан цахилгаан станц,vasskraftstasjon med korttidsmagasin,elektrownia wodna zbiornikowa o wyrównaniu krótkotrwałym,central de eclusa,elektrarna s tedensko akumulacijo,"хидроелектрана са недељним изравнањем , ж јд",vattenkraftstation med korttidsmagasin,短期调节水电站
602-01-07,reservoir power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-07,محطة توليد مائية بخزان,"Speicherkraftwerk, n",reservoir power station,central de embalse,varastoallasvoimalaitos,"centrale de lac, f",centrale con serbatoio stagionale,貯水式発電所,저수지 발전소,усны нөөцлүүртэй усан цахилгаан станц,vasskraftstasjon med langtidsmagasin,elektrownia wodna zbiornikowa o wyrównaniu długotrwałym,central de albufeira,akumulacijska elektrarna,"акумулациона хидроелектрана, ж јд",vattenkraftstation med långtidsmagasin,蓄水式水电站
602-01-08,tidal power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-08,محطة توليد بالمد والجزر,"Gezeitenkraftwerk, n",tidal power station,central mareomotriz,vuorovesivoimalaitos,"centrale marémotrice, f",centrale mareomotrice,潮力発電所,조력 발전소,түрлэгийн усан цахилгаан станц,tidevasskraftstasjon,elektrownia wodna pływowa,central maremotriz,bibavična elektrarna,"електрана на плиму и осеку, ж јд",tidvattenkraftstation,潮汐电站
602-01-09,pumped storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-09,تخزين ضخّي,"Pumpspeicherung, f",pumped storage,acumulación por bombeo,pumppausvarastointi,"accumulation par pompage, f",accumulazione per pompaggio,揚水貯蔵,양수,ус хураагуур,magasinpumping,pompowanie akumulacyjne,armazenamento por bombagem,črpalno akumuliranje,"сакупљање воде пумпањем, с јд",magasinpumpning,抽水蓄能
602-01-10,pumped storage power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-10,محطة توليد بتخزين ضخي,"Pumpspeicherkraftwerk, n",pumped storage power station,central de bombeo,pumppuvoimalaitos,"centrale de pompage, f",centrale di pompaggio,揚水発電所,양수 발전,ус хураагуурын цахилгаан станц,pumpekraftstasjon,elektrownia wodna pompowa,central de bombagem,črpalna elektrarna,"пумпно-акумулациона хидроелектрана, ж јд",pumpkraftstation,抽水蓄能电站
602-01-11,gross head of a hydroelectric power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-11,الضغط الاجمالي لمحطة توليد مائي,"Bruttofallhöhe eines Wasserkraftwerks, f",gross head of a hydroelectric power station,salto bruto de una central hidroeléctrica,vesivoimalaitoksen kokonaisputouskorkeus,"chute brute d'une centrale hydro-électrique, f",salto utile lordo d’una centrale idroelettrica,水力発電所の総落差,수력 발전소 총 수두,усан цахилгаан станцын далангийн нийт түрц,brutto fallhøgd,spad brutto elektrowni wodnej,queda bruta de uma central hidroeléctrica,bruto padec hidroelektrarne,"бруто пад хидроелектране, м јд",bruttofallhöjd för vattenkraftstation,水电站毛水头
602-01-12,net head of a hydroelectric power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-12,الضغط الصافي لمحطة توليد مائية,"Nettofallhöhe eines Wasserkraftwerks, f",net head of a hydroelectric power station,salto neto de una central hidroeléctrica,vesivoimalaitoksen hyötyputouskorkeus,"chute nette d'une centrale hydro-électrique, f",salto utile netto d’una centrale idroelettrica,水力発電所の有効落差,수력 발전소 순낙차,усан цахилгаан станцын далангийн цэвэр түрц,netto fallhøgd,spad netto elektrowni wodnejspad użyteczny elektrowni wodnej,queda útil de uma central hidroeléctrica,neto padec hidroelektrarne,"нето пад хидроелектране, м јд",nettofallhöjd för vattenkraftstation,水电站净水头
602-01-13,useful water capacity of a reservoir,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-13,السعة المائية المفيدة للخزان,"Nutzraum eines Speichers, m",useful water capacity of a reservoir,capacidad útil en agua de un embalse,altaan hyötytilavuus,"capacité utile en eau d'un réservoir, f",capacità utile in acqua di un serbatoio,貯水池の有効貯水容量,저수지 유효수량,нөөцлүүрийн усны ашигтай эзлэхүүн,brutto vasskapasitet til magasin,pojemność użyteczna zbiornika,capacidade útil em água de uma albufeira,koristna prostornina akumulacije,"корисна запремина акумулације, ж јд",total magasinsvolym,水库有效库容
602-01-14,energy capability of a reservoir,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-14,القدرة الطاقية لخزان,"Arbeitsvermögen eines Speichers, n",energy capability of a reservoir,capacidad en energía eléctrica de un embalse,altaan energianvarastoimiskyky,"capacité en énergie d'un réservoir, f",capacità in energia di un serbatoio,貯水池のエネルギー容量,저수지 가능 출력량,нөөцлүүрийн энергийн бүтээмж,brutto energikapasitet til magasin,pojemność energetyczna zbiornika,capacidade em energia de uma albufeira,energijska zmogljivost akumulacije,"енергетска вредност акумулације, ж јд",total magasinsenergi,水库电能能力
602-01-15,useful water reserve of a reservoir,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-15,الاحتياط المائي المفيد للخزان,"Speichernutzinhalt, m",useful water reserve of a reservoir,reserva útil en agua de un embalse,altaan hyötyvarasto,"réserve utile en eau d'un réservoir, f",riserva utile in acqua di un serbatoio,貯水池の有効貯水量,저수지 유효 저수량,нөөцлүүрийн усны ашигтай нөөц,tilgjengeleg magasinbehaldning,rezerwa użyteczna zbiornika,armazenamento útil (em água) de uma albufeira,koristna vodna rezerva akumulacije,"корисна резерва воде у акумулацији, ж јд",magasinsinnehåll,水库可用库存水量
602-01-16,energy reserve of a reservoir,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-16,احتياط الطاقة للخزان,"Arbeitsvorrat eines Speichers, m",energy reserve of a reservoir,reserva en energía eléctrica de un embalse,altaan energiavarasto,"réserve en énergie électrique d'un réservoir, f",riserva in energia di un serbatoio,貯水池のエネルギー貯留量,저수지 에너지 저장량,нөөцлүүрийн энергийн нөөц,tilgengeleg energibehaldning,rezerwa energetyczna zbiornika,armazenamento útil em energia eléctrica de uma albufeira,elektroenergijska rezerva akumulacije,"резерва енергије у акумулацији, ж јд",energiinnehåll i ett magasin,水库电能储量
602-01-17,reservoir fullness factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-17,عامل إمتلاء الخزان,"Speicherfüllungsgrad, m",reservoir fullness factor,factor de llenado en energía eléctrica,altaan täyttöaste,"facteur de remplissage en énergie électrique, m",coefficiente di invaso in energia elettrica,貯水池満量度係数,저수지 예비율,нөөцлүүрийн дүүргэлтийн коэффициент,fyllingsgrad,współczynnik energetyczny napełnienia zbiornika lub zbiorników,factor de enchimento em energia eléctrica,faktor napolnjenosti akumulacije,"фактор напуњености акумулације, м јд",fyllnadsgrad,水库满度因数
