term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
617-01-01,reliability (of an electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-01,الإعتمادية (فى نظام القدرة الكهربائية),"Zuverlässigkeit, <eines Elektrizitätsversorgungssystems> f",reliability (of an electric power system),,sähkövoimajärjestelmän luotettavuusluotettavuus,fiabilité (d’un réseau d’énergie électrique) f,,"信頼性, <電力系統の>","믿음성, <전기 전력 시스템>신뢰도, <전기 전력 시스템>","найдвартай байдал, <цахилгаан эрчим хүчний системийн>",niezawodność (systemu elektroenergetycznego),fiabilidade (de uma rede de energia eléctrica),zanesljivost elektroenergetskega sistema,"поузданост, <електроенергетског система> ж јд",,"可靠性, <电力系统的>"
617-01-02,security (of an electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-02,الأمان (فى نظام القدرة الكهربائية),"dynamische Versorgungssicherheit, <eines Elektrizitätsversorgungssystems> fdynamische Funktionsfähigkeit, <eines Elektrizitätsversorgungssystems> f",security (of an electric power system),,sähkövoimajärjestelmän varmuusvarmuus,sécurité (d’un réseau d‘énergie électrique) f,,"安全性, <電力系統の>","보안, <전력계통>안전도, <전력계통>","аюулгүй байдал, <цахилгаан эрчим хүчний системийн>",bezpieczeństwo (systemu elektroenergetycznego),segurança (de uma rede de energia eléctrica),sigurnost elektroenergetskega sistema,"сигурност, <електроенергетског система> ж јд",,"安全性, <电力系统的>"
617-01-03,stability (of an electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-03,الإستقرار (فى نظام القدرة الكهربائية),"Netzstabilität, <eines Elektrizitätsversorgungssystems> f",stability (of an electric power system),,sähkövoimajärjestelmän stabiiliusstabiilius,stabilité (d’un réseau d’énergie électrique) f,,"安定性, <電力系統の>","안정도, <전력계통>안전성, <전력계통>","тогтвортой байдал, <цахилгаан эрчим хүчний системийн>",stabilność (systemu elektroenergetycznego)równowaga (systemu elektroenergetycznego),estabilidade (de uma rede de energia eléctrica),stabilnost elektroenergetskega sistema,"стабилност, <електроенергетског система> ж јд",,"稳定性, <电力系统的>"
617-01-04,adequacy (of an electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-04,الكفاية (فى نظام القدرة الكهربائية),"Eignung, <eines Elektrizitätsversorgungssystems> fstationäre Funktionsfähigkeit, <eines Elektrizitätsversorgungssystems> f",adequacy (of an electric power system),,sähkövoimajärjestelmän riittävyysriittävyys,adéquation (d’un réseau d’énergie électrique) f,,"アデカシー, <電力系統の>","적정성, <전력계통>","хангалт, <цахилгаан эрчим хүчний системийн>",prawidłowość (systemu elektroenergetycznego)poprawność (systemu elektroenergetycznego)wystarczalność (systemu elektroenergetycznego),adequação (de uma rede de energia eléctrica),zadostnost elektroenergetskega sistema,"адекватност, <електроенергетског система> ж јд",,"充裕性, <电力系统的>"
617-01-05,power quality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-05,جودة التغذية الكهربائية,"Spannungsqualität, f",power quality,,sähkön laatu,"qualité de la tension, f",,電力品質,전원 품질,эрчим хүчний чанар,jakość energii elektrycznej,qualidade de energia eléctrica,kakovost napetosti,"квалитет електричне енергије, м јд",,电能质量
617-01-06,security of the electricity supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-06,أمان مصدر التغذية الكهربائية,"Sicherheit der Elektrizitätsversorgung, f",security of the electricity supply,,sähköntoimituksen varmuus,"sécurité de la fourniture d’électricité, f",,電力供給の信頼度,전기공급 안전보장,цахилгаан хангамжийн аюулгүй байдал,bezpieczeństwo dostaw energii elektrycznej,segurança do fornecimento de electricidade,sigurnost oskrbe z električno energijo,"сигурност снабдевања електричном енергијом, ж јд",,供电安全性
617-01-07,quality of the electricity supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-01-07,جودة مصدر التغذية الكهربائية,"Elektrizitätsversorgungsqualität, f",quality of the electricity supply,,sähköntoimituksen laatu,"qualité de la fourniture d’électricité, f",,電力供給の品質,전기 공급 품질,цахилгаан хангамжийн чанар,jakość dostawy energii elektrycznej,qualidade do fornecimento de electricidade,kakovost oskrbe z električno energijo,"квалитет снабдевања електричном енергијом, м јд",,供电质量
617-02-01,producer (of electricity),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-01,منتج (الكهرباء),"Elektrizitätserzeuger, m",producer (of electricity),,sähkön tuottajatuottaja,producteur (d’électricité) m,,発電事業者,"생산자, <전기>","үйлдвэрлэгч, <цахилгааны>",wytwórca (energii elektrycznej),produtor (de electricidade),proizvajalec električne energije,"произвођач, <електричне енергије> м јд",,"发电商生产商, <电力的>"
617-02-02,independent power producer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-02,منتج كهرباء مستقلمولد كهرباء مستقل,"unabhängiger Elektrizitätserzeuger, m",independent power producerindependent power generator,,itsenäinen sähköntuottaja,"producteur indépendant, m",,独立系発電事業者,독립 전력 생산자,бие даасан эрчим хүч үйлдвэрлэгчбие даасан эрчим хүчний генератор,wytwórca niezależny,produtor independente,neodvisni proizvajalec električne energije,"независни произвођач, <електричне енергије> м јд",,独立发电商
617-02-03,wholesale customer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-03,مستهلك البيع بالجملةالبائع بالجملة,"Großhandelsabnehmer, m",wholesale customerwholesaler,,tukkumyyjä,"acheteur en gros, mgrossiste, m",,卸売業者,도매 소비자도매 수용가,бөөний үнийн худалдан авагч,nabywca hurtowyhurtownik,comprador em grossogrossista,trgovec na debeloveleprodajni trgovec,"купац на велико, м јд",,批发商
