term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
421-01-01,power transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-01,محول قدرة,"Transformator, m",power transformer,transformador de potencia,muuntajatehomuuntaja,"transformateur de puissance, m",trasformatore,電力変圧器電源変圧器,전력 변압기전력용 변압기,хүчний трансформатор,krafttransformator,transformator,transformador de potência,(močnostni) transformator,"енергетски трансформатор, м јд",krafttransformator,电力变压器
421-01-02,series reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-02,مفاعل متتالي (ممانع),"Reihendrosselspule, f",series reactor,reactancia serie,sarjakuristin,"(bobine d')inductance série, f",reattore in serie,直列リアクトル,직렬 리액터,цуваа холболттой реактор,seriereaktor,dławik szeregowy,(bobine de) indutância série,zaporedna dušilkaserijska dušilka,"серијска пригушница, ж јд",seriereaktor,串联电抗器
421-01-03,shunt reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-03,مفاعل موازي (ممانع),"Kompensations-Drosselspule, f",shunt reactor,reactancia shunt,rinnakkaisreaktori,"(bobine d')inductance shunt, f",reattore in derivazione,分路リアクトル,분로 리액터,шүүнтлэгч реактор,shuntreaktor,dławik kompensacyjny (bocznikujący),(bobine de) indutância derivação,vzporedna dušilkaparalelna dušilka,"паралелна пригушница, ж јд",shuntreaktor,并联电抗器
421-01-04,arc-suppression coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-04,وشيعة (ملف) اخماد القوس,"Erdschlusslöschspule, f",arc-suppression coil,bobina de extinción de arco,sammutuskuristin,"bobine d'extinction d'arc, f",bobina di estinzione d'arco,消弧リアクトル,아크 소호 코일,нум унтраах ороомог,"jordslutningsspole, sløkkjespole, petersenspole",dławik gaszący,bobina de extinção,gasilna dušilka,"пригушница за гашење лука, ж јдПетерсенова пригушница, ж јд",Petersénspolesläckningsreaktor,消弧线圈
421-01-05,three-phase earthing transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-05,محول التأريض ثلاثي الأطوار,"Neutralpunktbildner-Transformator, m",three-phase earthing transformergrounding transformer (US),transformador trifásico de puesta a tierra,maadoitusmuuntajakolmivaiheinen maadoitusmuuntaja,"transformateur triphasé de mise à la terre, m",trasformatore di messa a terra,接地変圧器,삼상 접지 변압기,гурван фазын газардуулгатай трансформатор,jordingstransformator,transformator trójfazowy uziemiający,transformador trifásico de ligação à terra,trifazni ozemljitveni transformator,"трофазни трансформатор за уземљење, м јд",jordningstransformator,三相接地变压器
421-01-06,three-phase neutral reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-06,مفاعل تأريض ثلاثي الاطوار,"Neutralpunktbildner-Drosselspule, f",three-phase neutral reactor,reactancia trifásica de puesta a tierra,kolmivaiheinen maadoitusreaktori,"(bobine d')inductance triphasée de mise à la terre, f",reattore di neutro artificiale,三相中性点リアクトル,삼상 중성 리액터,гурван фазын саармаг цэг бүхий реактор,·····,dławik trójfazowy zerujący,(bobine de) indutância trifásica de ligação à terra,trifazna ozemljitvena dušilka,"трофазна пригушница, ж јд",,三相中性点电抗器
421-01-07,core-type transformer (deprecated),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-07,محول ذو قلب (غير موصى به),"Kerntransformator, m, (abgelehnt)",core-type transformer (deprecated),transformador de columnas (desaconsejado),sydänmuuntaja,transformateur à colonnes (déconseillé) m,trasformatore con nucleo a colonna,内鉄形変圧器,"외철형 변압기, Deprecated","зүрхэвч бүхий трансформатор, <ашиглагдахаа больсон>",·····,transformator rdzeniowy,transformador (do tipo) de colunas (desaconselhado),stebrni tip transformatorja (odsvetovano)jedrni tip transformatorja (odsvetovano),стубни трансформатор (deprecated) м јд,kärntransformator,"心式变压器, <弃用>"
421-01-08,core-type reactor (deprecated),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-08,مفاعل ذو قلب (غير موصى به),"Kerndrosselspule, f, (abgelehnt)",core-type reactor (deprecated),reactancia de columnas (desaconsejado),sydänreaktori,bobine d'inductance à colonnes (déconseillé) f,reattore con nucleo a colonna,内鉄形リアクトル,"외철형 리액터, Deprecated","зүрхэвч бүхий реактор, <ашиглагдахаа больсон>",·····,dławik rdzeniowy,bobine de indutância (do tipo) de colunas (desaconselhado),stebrni tip dušilke (odsvetovano)jedrni tip dušilke (odsvetovano),стубна пригушница (deprecated) ж јд,reaktor av karntyp,"心式电抗器, <弃用>"
421-01-09,shell-type transformer (deprecated),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-09,محول ذو غلاف,"Manteltransformator, m, (abgelehnt)",shell-type transformer (deprecated),transformador acorazado (desaconsejado),vaippamuuntaja,transformateur cuirassé (déconseillé) m,trasformatore con nucleo corazzato,外鉄形変圧器,"내철형 변압기, Deprecated","хуяглагдсан бүрхүүлтэй трансформатор, <ашиглагдахаа больсон>",·····,transformator płaszczowy,transformador (do tipo) couraçado (desaconselhado),plaščni tip transformatorja (odsvetovano),оклопљени трансформатор (deprecated) м јд,manteltransformator,"壳式变压器, <弃用>"
421-01-10,shell-type reactor (deprecated),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-10,مفاعل ذو غلاف,"Manteldrosselspule, f, (abgelehnt)",shell-type reactor (deprecated),reactancia acorazada (desaconsejado),vaippareaktori,bobine d'inductance cuirassée (déconseillé) f,reattore con nucleo corazzato,外鉄形リアクトル,"내철형 리액터, Deprecated","хуяглагдсан бүрхүүлтэй реактор, <ашиглагдахаа больсон>",·····,dławik płaszczowy,bobine de indutância (do tipo) couraçado (desaconselhado),plaščni tip dušilke (odsvetovano),оклопљена пригушница (deprecated) ж јд,mantelreaktor,"壳式电抗器, <弃用>"
