term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
113-01-01,space-time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-01,حيز - زمن,prostoročas,"Raumzeit, f",space-time,espacio-tiempo,aika-avaruus,"espace-temps, m",spazio-tempo,時空,시공,czasoprzestrzeń,espaço-tempo,rumtid,时间-空间时-空
113-01-02,space,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-02,حيز,prostor,"Raum, m",space,espacio,avaruus,"espace, m",spazio,空間,공간,przestrzeń,espaço,rum,空间
113-01-03,time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-03,زمن,čas,"Zeit, f",time,tiempo,aika,"temps, m",tempo,時間,시간,czas (1),tempo,tid,时间
113-01-04,event,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-04,حدث,událost,"Ereignis, n",event,suceso,tapahtuma,"événement, m",evento,事象,사건,zdarzenie,evento,händelse,事件
113-01-05,"instantaneous, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-05,لحظى,okamžitý,"Momentan…, in Zusammensetzungenmomentan, Adjektiv","instantaneous, adj",instantáneo,välitön,"instantané, adj",istantaneo,"ある瞬間の, 形容詞","순간적, 형용사",chwilowy,"instantâneo, adj.",momentan,瞬时的
113-01-06,process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-06,عملية,dějproces,"Prozess, m",process,proceso,prosessi,"processus, m",processo,過程,과정,procesprzebieg,processo,process,过程
113-01-07,time axis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-07,محور الزمن,časová osa,"Zeitachse, f",time axis,eje de tiempos,aika-akseli,"axe du temps, maxe temporel, m",asse dei tempi,時間軸,시간축,oś czasu,eixo do tempo,tidsaxel,时间轴时轴
113-01-08,instant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-08,لحظة,okamžik,"Zeitpunkt, m",instant,instante,hetki,"instant, m",istante,瞬間,순간,chwilamoment (termin niezalecany w tym sensie),instante,tidpunkt,时刻
113-01-09,"simultaneous, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-09,متزامن,simultánní,"gleichzeitig, Adjektivsimultan, AdjektivSimultan…, in Zusammensetzungen","simultaneous, adj",simultáneo,samanaikainen,"simultané, adj",simultaneo,"同時, 形容詞","동시적, 형용사",jednoczesny,simultâneo,"samtidig, samtidigt",同时的
113-01-10,time interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-10,فترة زمنية,časový interval,"Zeitintervall, n",time interval,intervalo de tiempo,aikaväli,"intervalle de temps, m",intervallo di tempo,時間間隔,시간 간격,przedział czasu,intervalo de tempo,tidsintervall,时间间隔
113-01-11,timescale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-11,مقياس الزمن,časová stupnice,"Zeitskala, f",timescale,escala de tiempo,aika-asteikko,"échelle de temps, f",scala dei tempi,時間尺度,시간 척도시간 비율,skala czasu,escala de tempo,tidsskala,时标
113-01-12,date,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-12,تاريخ,datumčasový údaj,"Zeitangabe, fDatum, n",date,data,päivämäärä,"date, f",data,日付,날짜,data,data,datum,日期
