term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
221-01-01,magnetic field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-01,مجال (حقل)  مغناطيسى,"magnetisches Feld, n",magnetic field,campo magnético,"champ magnétique, m",campo magnetico,"磁界, <電気>磁場, <物理>",자기장자장자계,pole magnetyczne,campo magnético,magnetiskt fält,磁场
221-01-02,magnetic dipole (1),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-02,ثنائي قطب مغناطيسي (1),"magnetischer Elementardipol, m",magnetic dipole (1),dípolo magnético (elemental)doblete magnético,"dipôle magnétique (élémentaire), mdoublet magnétique, m",dipolo magnetico elementare,"磁気双極子, <関連エントリー: 221-01-03>","자기 쌍극자, <관련 엔트리: 221-01-03>",dipol magnetyczny elementarny,dipolo magnético (elementar),magnetisk dipol,基本磁偶极子
221-01-03,magnetic dipole (2),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-03,ثنائي قطب مغناطيسي (2),"magnetischer Dipol, m",magnetic dipole (2),dípolo magnético,"dipôle magnétique, m",dipolo magnetico,"磁気双極子, <関連エントリー: 221-01-02>",자기 쌍극자<관련 엔트리: 221-01-02>,dipol magnetyczny,dipolo magnético,magnetisk dipol,磁偶极子
221-01-04,saturation magnetization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-04,مغنطة (تمغنط) تشبّع,"Sättigungsmagnetisierung, f",saturation magnetization,imantación de saturaciónmagnetizacíon de saturación,"aimantation à saturation , f",magnetizzazione a saturazione,飽和磁化,포화 자화,magnetyzacja nasycenia,magnetização de saturação,mättningsmagnetisering,饱和磁化强度
221-01-05,saturation magnetic polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-05,استقطاب مغناطيسي التشبع,"magnetische Sättigungspolarisation, f",saturation magnetic polarization,polarización magnética de saturación,"polarisation magnétique à saturation , f",polarizzazione magnetica a saturazione,飽和磁気分極,포화 자기 분극,polaryzacja magnetyczna nasycenia,polarização magnética de saturação,(magnetisk) mättningspolarisation,饱和磁极化强度
221-01-06,saturation magnetization (mass) density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-06,كثافة مغنطة تشبع (بالكثلة),"Sättigungsmagnetisierungsdichte (massebezogen), fspezifische Sättigungsmagnetisierung, f",saturation magnetization (mass) density specific saturation magnetization,densidad de magnetización de saturaciónmagnetización de saturación específica,"densité d'aimantation à saturation, faimantation à saturation spécifique , f",magnetizzazione volumica a saturazione,飽和磁化密度,포화 자화 밀도고유포화자화,magnetyzacja nasycenia właściwa,densidade de magnetização de saturação,massrelaterad mättningsmagnetisering,饱和磁化质量密度比饱和磁化强度
221-01-07,magnetic dipole moment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-07,عزم ثنائي قطب مغناطيسي,"magnetisches Dipolmoment, n",magnetic dipole moment,momento magnético culombianomomento magnético de dípolo,"moment magnétique coulombien , m",momento magnetico,磁気双極子モーメント,자기 쌍극자 모멘트,magnetyczny moment dipolowy,momento magnético de dipolo,magnetiskt dipolmoment,磁偶极矩
221-01-08,magnetic anisotropy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-08,تباين خواص مغناطيسي,"magnetische Anisotropie, f",magnetic anisotropy,anisotropía magnética,"anisotropie magnétique, f",anisotropia magnetica,磁気異方性,자기이방성,anizotropia magnetyczna,anisotropia magnética,magnetisk anisotropi,磁各向异性
221-01-09,induced magnetic anisotropy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-09,تباين خواص مغناطيسي مستحث,"induzierte magnetische Anisotropie, f",induced magnetic anisotropy,anisotropía magnética inducida,"anisotropie magnétique induite, f",anisotropia magnetica indotta,誘導磁気異方性,유도 자기 이방성유도 자기 비등방성,anizotropia magnetyczna indukowana,anisotropia magnética induzida,inducerad magnetisk anisotropi,感生磁各向异性
221-01-10,magnetically anisotropic substance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=221-01-10,مادة متباينة الخواص مغناطيسيا,"magnetisch anisotrope Substanz, f",magnetically anisotropic substance,sustancia magnética anisótropa,"substance magnétique anisotrope, f",materiale magnetico anisotropo,異方性磁性体,이방성 자성체,substancja magnetycznie anizotropowa,substância magnética anisótropa,magnetiskt anisotropt material,磁各向异性物质
