term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
551-11-01,power electronics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-01,إلكترونيات القدرة,"Leistungselektronik, f",power electronics,electrónica de potencia,tehoelektroniikka,"électronique de puissance, f",elettronica di potenza,パワーエレクトロニクス,전력 전자피이,energoelektronika,electrónica de potência,силовая электроника,"eнергетска електроника, ж јд",kraftelektronik,电力电子学电力电子技术
551-11-02,(electronic) (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-02,التحويل (إلكتروني)( للقدرة),"elektronisches Leistungsumrichten, nLeistungsumrichten, nUmrichten, n",(electronic) (power) conversion,conversión (electrónica) (de potencia),muuttaminentehoelektroninen muuttaminen,"conversion (électronique) (de puissance), f",conversione statica dell'energia,変換電子電力変換,전자식 전력 변환,przekształcanie energoelektroniczne,conversão (electrónica) (de potência),электронное (силовое) преобразование,"(електронско) (енергетско) претварање, с јд",omriktning,电力电子变流换流
551-11-03,electronic (power) switching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-03,توصيل و فصل (القدرة) الكترونياً,"elektronisches Leistungsschalten, nelektronisches Schalten, n",electronic (power) switching,conmutación (electrónica) de un circuito (de potencia),elektroninen kytkeminentehoelektroninen kytkeminen,"ouverture/fermeture électronique d'un circuit (de puissance), f",apertura/chiusura elettronica di un circuito elettronico (di potenza) o commutazione elettronica,電子電力スイッチング電子スイッチング電子電力開閉電子開閉,전자식 전력 개폐,łączenie energoelektroniczne,comutação electrónica (de potência),электронное (силовое) переключение цепи,"електронско (енергетско) комутирање, с јд",elektronisk omkoppling,电力电子通断
551-11-04,(electronic) (power) resistance control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-04,تحكم مقاومي (إكتروني)( للقدرة),"elektronische Leistungs-Widerstandssteuerung, fLeistungs-Widerstandssteuerung, fWiderstandssteuerung, f",(electronic) (power) resistance control,regulación por resistencia (electrónica) (de potencia),resistanssiohjaustehoelektroninen resistanssiohjaus,"réglage par résistance (électronique) (de puissance), m",controllo con resistenze di (dispositivi elettronici) (di potenza),抵抗値制御電子電力抵抗値制御,전자식 전력 저항 제어,sterowanie energoelektroniczne rezystancyjne,controlo (electrónico) (de potência) por resistência,электронное управление активным сопротивлением в силовой цепи,"(електронско) (енергетско) отпорничко управљање, с јд",elektronisk resistansstyrning,电力电子电阻控制
551-11-05,(electronic) AC/DC (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-05,تحويل إلكتروني تيار متردد / تيار مستمر (للقدرة),"elektronisches Wechselstrom-Gleichstrom-Leistungsumrichten, nWechselstrom-Gleichstrom-Leistungsumrichten, nWechselstrom-Gleichstrom-Umrichten, n",(electronic) AC/DC (power) conversion,conversión (electrónica) (de potencia) alterna/continua,vaihtosähkö/tasasähkömuuttaminentehoelektroninen vaihtosähkö/tasasähkömuuttaminen,"conversion (électronique) (de puissance) alternatif/continu, f",conversione (elettronica) (di potenza) c.a./c.c.,交直電力変換電子交直電力変換交直変換電子交直変換,전자식 교류/직류 전력 변환,przekształcanie energoelektroniczne prąd przemienny/prąd stały,conversão (electrónica) (de potência) alternada-contínuaconversão (electrónica) (de potência) alterna-contínua,электронное (силовое) преобразование переменного / постоянного тока,"(електронско) (енергетско) претварање наизменичне струје у једносмерну, с јд",vs/ls-omriktning,电力电子交流/直流变流
551-11-06,(electronic) (power) rectification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-06,تقويم (إلكتروني)( للقدرة),"elektronisches Leistungsgleichrichten, nLeistungsgleichrichten, nGleichrichten, n",(electronic) (power) rectification,rectificación (electrónica) (de potencia),tasasuuntaus,"redressement (électronique) (de puissance), m",raddrizzamento (c.a./c.c.) elettronico (di potenza) con dispositivi di elettronica di potenza,電子電力順変換順変換,전자식 전력 정류,prostowanie energoelektroniczne,rectificação (electrónica) (de potência),электронное (силовое) выпрямление,"(електронско) (енергетско) исправљање, с јд",likriktning,电力电子整流
551-11-07,(electronic) (power) inversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-07,تحويل عكسي (إلكتروني)( للقدرة),"elektronisches Leistungswechselrichten, nLeistungswechselrichten, nWechselrichten, n",(electronic) (power) inversion,inversión (electrónica) (de potencia),vaihtosuuntaus,"fonctionnement onduleur, m",inversione (c.c./c.a.) elettronico (di potenza),逆変換電子電力逆変換,전자식 전력 반전,falowanie energoelektroniczne,inversão (electrónica) (de potência)ondulação (electrónica) (de potência),электронное (силовое) инвертирование,"(електронско) (енергетско) инвертовање, с јд",växelriktning,电力电子逆变
551-11-08,(electronic) AC (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-08,تحويل إكتروني( للقدرة) (تيار متردد),"elektronisches Leistungs-Wechselstromumrichten, nLeistungs-Wechselstromumrichten, nWechselstromumrichten, n",(electronic) AC (power) conversion,conversión (electrónica) (de potencia) de corriente alterna,vaihtosähkön muuttaminentehoelektroninen vaihtosähkön muuttaminen,"conversion (électronique) (de puissance) de courant alternatif, f",conversione (elettonica) (di potenza) in c.a./c.a.,交流電力変換電子交流電力変換交流変換電子交流変換,전자식 교류 전력 변환,przekształcanie energoelektroniczne prądu przemiennego,conversão (electrónica) (de potência) de corrente alternadaconversão (electrónica) (de potência) de corrente alterna,электронное (силовое) преобразование переменного тока,"(електронско) (енергетско) претварање наизменичне струје, с јд",vs-omriktning,电力电子交流变流
551-11-09,(electronic) DC (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-09,تحويل (إكتروني)( للقدرة) (تيار مستمر),"elektronisches Leistungs-Gleichstromumrichten, nLeistungs-Gleichstromumrichten, nGleichstromumrichten, n",(electronic) DC (power) conversion,conversión (electrónica) (de potencia) de corriente continua,tasasähkön muuttaminentehoelektroninen tasasähkön muuttaminen,"conversion (électronique) (de puissance) de courant continu, f",conversione (elettronica) (di potenza) in c.c./c.c.,直流電力変換電子直流電力変換直流変換電子直流変換,전자식 직류 전력 변환,przekształcanie energoelektroniczne prądu stałego,conversão (electrónica) (de potência) de corrente contínua,электронное (силовое) преобразование постоянного тока,"(електронско) (енергетско) претварање једносмерне струје, с јд",ls-omriktning,电力电子直流变流
551-11-10,direct (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-10,تحويل مباشر (للقدرة),"direktes Leistungsumrichten, ndirektes Umrichten, n",direct (power) conversion,conversión directa (de potencia),suora muuttaminenvälipiiritön muuttaminen,"conversion directe (de puissance), f",conversione diretta (di potenza),直接電力変換直接変換,직접 전력 변환,przekształcanie bezpośrednie (mocy),conversão directa (de potência),прямое (силовое) преобразование,"директно енергетско претварање, с јд",omriktning utan mellanled,电力直接变流
551-11-11,indirect (power) conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-11-11,تحويل غير المباشر (للقدرة),"Zwischenkreis-Leistungsumrichten, nZwischenkreisumrichten, n",indirect (power) conversion,conversión indirecta (de potencia),epäsuora muuttaminenvälipiirillinen muuttaminen,"conversion indirecte (de puissance), f",conversione indiretta (di potenza),間接電力変換間接変換,간접 전력 변환,przekształcanie pośrednie (mocy),conversão indirecta (de potência),непрямое (силовое) преобразование (силовое) преобразование с промежуточным звеном (звеньями),"индиректно (енергетско) претварање, с јд",omriktning med mellanled,电力间接变流
551-12-01,(electronic) (power) converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-01,مغير (القدرة)( الإلكتروني),"elektronischer Leistungs-Stromrichter, melektronischer Stromrichter, m",(electronic) (power) converter(electronic) (power) convertor,convertidor (electrónico) (de potencia),muuttajasuuntaaja,"convertisseur (électronique) (de puissance), m",convertitore (di elettronica) (di potenza),コンバータ変換装置電子パワーコンバータ,전자식 전력 변환기전자식 전력 컨버터,przekształtnik energoelektroniczny,conversor (electrónico) (de potência),электронный силовой преобразователь,"(електронски) (енергетски) претварач, м јд",omriktare,电力电子变流器换流器
551-12-02,AC/DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-02,مغير تيار متردد/تيار مستمر,"Wechselstrom-Gleichstromumrichter, m",AC/DC converter,convertidor alterna/continua,vaihtovirta-tasavirtamuuttaja,"convertisseur alternatif/continu, m",convertitore c.a./c.c.,交直変換装置,교류/직류 변환기,przekształtnik prąd przemienny – prąd stały,conversor alternada-contínuaconversor alterna-contínua,преобразователь переменного / постоянного тока,"претварач наизменичне струје у једносмерну, м јд",vs/ls-omriktare,交流/直流变流器
551-12-03,voltage stiff AC/DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-03,مغير تيار متردد / تيار مستمر ثابت الجهد,"Wechselstrom-Gleichstromumrichter mit Spannungseinprägung, m",voltage stiff AC/DC converter,convertidor alterna/continua de tensión fija,jännitejäykkä vaihtosähkö-tasasähkömuuttaja,"convertisseur alternatif/continu imposant la tension, mconvertisseur alternatif/continu en source de tension, m",convertitore c.a./c.c. a tensione impressa,電圧形交直変換装置,전압 고정 교류/직류 변환,przekształtnik prąd przemienny – prąd stały o wygładzonym napięciuprzekształtnik napięcia,conversor alternada-contínua em fonte de tensão,преобразователь переменного / постоянного тока с преобладающими свойствами источника напряжения постоянного тока с преобладающими свойствами источника напряжения,"напонски претварач наизменичне струје у једносмерну неосетљив на оптерећење, м јд",spänningsstyv vs/ls-omriktare,电压型交流/直流变流器
