term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
821-01-01,railway signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-01,تأشير السكة الحديد,"Eisenbahnsignalwesen, n",railway signalling,señalización ferroviaria,"signalisation ferroviaire, f",segnalamento ferroviario,鉄道信号,철도 신호,"sterowanie ruchem kolejowym, n plsrkTERMIN NIEZALECANY: sygnalizacja, f",sinalização ferroviária,铁路信号
821-01-02,"security apparatus, <for railways>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-02,"أجهزة الأمان, <للسكة الحديد>","Sicherungseinrichtung, <für das Eisenbahnwesen> f","security apparatus, <for railways>","aparato de seguridad, <para ferrocarriles>","appareil de sécurité, <pour chemins de fer> m","apparecchiatura di sicurezza, <per ferrovie>","保安装置, <鉄道用>","보안 기기, <철도>","urządzenie bezpieczne, n","aparelho de segurança, <para caminhos de ferro>","安全装置, <铁路>"
821-01-03,"signalling system, <for railways>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-03,"نظام التأشير, <للسكة الحديد>","Signalsystem, <für das Eisenbahnwesen> n","signalling system, <for railways>","sistema de señalización, <para ferrocarriles>","système de signalisation, <pour chemins de fer> m","sistema di segnalamento, <per ferrovie>",信号システム,신호 체계신호 시스템,"system sterowania, m",sistema de sinalização,"信号系统, <铁路>"
821-01-04,lineside signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-04,تأشيرالخط الجانبى,"streckenseitige Signalisierung, f",lineside signalling,señalización lateral,"signalisation latérale, f","segnalamento laterale, <per ferrovie>",地上信号方式,선로측 신호,"sygnalizacja przytorowa, f",sinalização lateral,轨旁信号
821-01-05,automatic signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-05,تأشير أوتوماتيكى,"automatische Signalisierung, fselbsttätige Signalisierung, f",automatic signalling,señalización automática,"signalisation automatique, f",segnalamento automatico,自動信号方式,자동 신호,"sygnalizacja samoczynna, f",sinalização automática,"自动信号, <相关条目：IEV 821-02-30>"
821-01-06,continuous signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-06,تأشير مستمر,"kontinuierliche Signalisierung, flinienförmige Signalisierung, f",continuous signalling,señalización continua,"signalisation continue, f",segnalamento continuo,連続制御信号方式,연속 신호,"sygnalizacja bezprzewodowa ciągła, f",sinalização contínua,连续信号
821-01-07,intermittent signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-07,تأشير متقطع,"punktförmige Signalisierung, f",intermittent signalling,señalización intermitenteseñalización puntual,"signalisation ponctuelle, f",segnalamento puntiforme (discontinuo),点制御信号方式,간헐 신호,"sygnalizacja bezprzewodowa punktowa, f",sinalização pontual,点式信号
821-01-08,route signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-08,تأشير الطريق,"Fahrtrichtungssignalisierung, f",route signalling,señalización de dirección,"signalisation de direction, f",segnalamento di direzione,ルートシグナル進路信号方式,경로 신호,"sygnalizacja kierunku przebiegu, f",sinalização de direcção,进路信号
821-01-09,speed signalling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-09,سرعة التأشير,"Geschwindigkeitssignalisierung, f",speed signalling,señalización de velocidad,"signalisation de vitesse, f",segnalamento di velocità,スピードシグナル速度信号方式,속도 신호,"sygnalizacja prędkościowa, f",sinalização de velocidade,速度信号
821-01-10,"fail-safe, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=821-01-10,عطل أمن,"sicher bei Ausfall, adjektivisch""fail-safe"", adjektivisch","fail-safe, adj",seguridad intrínseca,"de sécurité intrinsèque, adj",sicurezza intrinseca,フェールセーフ,"고장 안전, 형용사","uszkodzony bezpieczny, adjfail-safe, adj",de segurança intrínseca,故障安全
