term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
722-01-01,telephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-01,إرسال هاتفي,"Telefonie, fFernsprechen, n",telephony,telefonía,puhelinliikennepuhelintekniikka,"téléphonie, f",telefonia,電話通信,전화 기술,"telefonia, f",telefonia,telefoni,语音通信
722-01-02,video-telephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-02,هاتف مرئي,"Bildtelefonie, fBildfernsprechen, n",video-telephonyviewphonevisual telephone,videotelefonía,kuvapuhelintekniikka,"visiophonie, fvidéophonie (terme déconseillé) f",videotelefonia,テレビ電話,영상 통화화상 통화비디오 전화,wizjotelefonia,videotelefonia,bildtelefoni,可视电话
722-01-03,still picture video-telephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-03,هاتف مرئي بصور ثابتة,"Festbildtelefonie, f",still picture video-telephony,videotelefonía de imagenes fijas,kiintokuvatekniikka,"visiophonie à images fixes, f",video lento,静止画テレビ電話,정지 영상 통화,wizjotelefonia obrazów nieruchomych,videotelefonia de imagens fixas,stillbildstelefoni,静止图像可视电话
722-01-04,voice-frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-04,تردّد صوتي,"Sprachfrequenz, f",voice-frequency,frecuencia vocal,äänitaajuus,"fréquence vocale, f",frequenza vocale,音声周波数,음성 주파수,częstotliwość sygnału mowy,frequência vocal,talfrekvens,话音频率
722-01-05,voice-frequency signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-05,إشارة تردّد صوتي,"Sprachfrequenzsignal, n",voice-frequency signal,señal vocal,äänitaajuussignaali,"signal vocal, m",segnale a frequenza vocale,音声周波数信号,음성 주파수 신호,sygnał mowy,sinal vocal,talfrekvenssignal,话频信号
722-01-06,speech current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-06,تيار كلامي,"Sprachsignal, n",speech current,corriente vocal,puhesignaali,"courant vocal, m",corrente vocale,音声電流,통화 전류,prąd rozmowny,corrente vocal,talström,话音电流
722-01-07,telephone frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-07,تردّد هاتفي,"Fernsprechfrequenz, f",telephone frequencyvoice-frequency (deprecated in this sense),frecuencia telefónicafrecuencia vocal (desaconsejada),puhelintaajuus,"fréquence téléphonique, ffréquence vocale (terme déconseillé dans ce sens) f",frequenza in banda telefonica,電話周波数,전화 주파수,częstotliwość telefoniczna,frequência telefónica,telefonfrekvens,电话频率
722-01-08,sub-telephone frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-08,تردد هاتفي فرعي,"Subfernsprechfrequenz, f",sub-telephone frequency,frecuencia infratelefónica,puhekaistan alapuolinen taajuus,"fréquence infra-téléphonique, f",frequenza in banda subtelefonica,下位電話周波数,하부 전화 주파수,częstotliwość podtelefoniczna,frequência infra-telefónica,infratelefonfrekvens,亚电话频率
722-01-09,super-telephone frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-09,تردد هاتفي فائق,"Superfernsprechfrequenz, f",super-telephone frequency,frecuencia supratelefónica,puhekaistan yläpuolinen taajuus,"fréquence supra-téléphonique, f",frequenza in banda sovratelefonica,上位電話周波数,상부 전화 주파수,częstotliwość nadtelefoniczna,frequência supra-telefónica,ultratelefonfrekvens,超电话频率
722-01-10,complex sound spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-10,طيف صوتي مركّب,"komplexes Schallspektrum, n",complex sound spectrum,espectro acústico complejo,kompleksinen äänispektri,"spectre acoustique complexe, m",spettro acustico complesso,複合音響スペクトル,복소 음향 스펙트럼,widmo zespolone sygnału akustycznego,espectro acústico complexo,komplext ljudspektrum,复合声谱
722-01-11,amplitude sound spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=722-01-11,طيف سعة الصوت,"Schallamplitudenspektrum, n",amplitude sound spectrum,espectro acústico de amplitud,äänen amplitudispektri,"spectre acoustique d'amplitude, m",spettro acustico d'ampiezza,増幅音響スペクトル,진폭 음향 스펙트럼,widmo amplitudowe sygnału akustycznego,espectro acústico de amplitude,ljudamplitudspektrum,声幅度谱
