term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
811-01-01,electric traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-01,جر كهربائي,"elektrische Zugförderung, f",electric traction,tracción eléctrica,"traction électrique, f",trazione elettrica,電気けん引方式,전기 견인,"trakcja elektryczna, f",tração elétrica,电力牵引
811-01-02,DC traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-02,جر بالتيار المستمر,"Gleichstrom-Zugförderung, f",DC traction,tracción en corriente continua,"traction à courant continu, f",trazione a corrente continua,直流けん引方式,직류 견인,"trakcja elektryczna prądu stałego, ftrakcja elektryczna systemu DC, f",tração em corrente contínua,直流牵引
811-01-03,single-phase AC traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-03,جر بالتيار المتردد أحادي الوجه,"Einphasen-Wechselstrom-Zugförderung, f",single-phase AC traction,tracción en corriente alterna monofásica,"traction à courant alternatif monophasé, f",trazione (a corrente alternata) monofase,単相交流けん引方式,단상 교류 견인,"trakcja elektryczna systemu 1-fazowego prądu przemiennego, ftrakcja elektryczna systemu 1-fazowego AC, f",tração em corrente alternada monofásica,单相交流牵引
811-01-04,three-phase AC traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-04,جر بالتيار المتردد ثلاثي الوجه,"Drehstrom-Zugförderung, f",three-phase AC traction,tracción en corriente alterna trifásica,"traction à courant alternatif triphasé, f",trazione (a corrente alternata) trifase,三相交流けん引方式,삼상 교류 견인,"trakcja elektryczna systemu 3-fazowego prądu przemiennego, ftrakcja elektryczna systemu 3-fazowego AC, f",tração em corrente alternada trifásica,三相交流牵引
811-01-05,thermo-electric traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-05,جر كهروحراري,"thermoelektrische Zugförderung, f",thermo-electric traction,tracción termoeléctrica,"traction thermoélectrique, f",trazione termoelettrica,ディーゼル発電けん引方式,열전기 견인,"trakcja spalinowo-elektryczna, f",tração termoelétrica,热电牵引
811-01-06,battery-electric traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-06,جر ببطارية كهربائية,"batterieelektrische Zugförderung, f",battery-electric traction,tracción por acumuladores eléctricos,"traction par accumulateurs électriques, f",trazione ad accumulatori,電池けん引方式,축전지 전기 견인,"trakcja akumulatorowa, f",tração por acumuladores elétricos,蓄电池牵引
811-01-07,stored kinetic energy traction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-07,جر بالطاقة الحركية المخزنة,"Zugförderung mit gespeicherter kinetischer Energie, f",stored kinetic energy traction,tracción por energía cinética acumulada,"traction par énergie cinétique accumulée, f",trazione ad accumulo di energia cinetica,運動エネルギー蓄積けん引方式,저장 운동에너지 견인,"trakcja z zasobnikiem wirującym, f",tração por energia cinética acumulada,储存动能牵引
811-01-08,train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-08,قطار,"Zug, m",train,tren,"train, m",,列車,열차,"pociąg, f",comboio,列车
811-01-09,high speed line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-09,خط عالى السرعة,"Hochgeschwindigkeitsstrecke, f",high speed line,línea de alta velocidad,"ligne grande vitesse, f",,高速路線,고속선,"linia dużych prędkości, f",linha de alta velocidade,高速铁路
811-01-10,maximum line speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-01-10,أقصى سرعة للخط,"höchste Streckengeschwindigkeit, f",maximum line speed,velocidad máxima de la línea,"vitesse maximale en ligne, f",,最高許容速度,최대 선속도,"prędkość maksymalna linii, f",velocidade máxima da linha,最高线路速度
