term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
715-01-01,communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-01,اتصالات,"Kommunikation, f",communication,comunicación (sentido 1),"communication, f",comunicazione,通信,통신,"rozmowa, <za pośrednictwem tele-komunikacji> f",comunicação,通信
715-01-02,transmission channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-02,قناة إرسال,"Übertragungskanal, mKanal, m",transmission channel,canal (de transmisión),"voie de transmission, f",canale trasmissivo,伝送チャネル,전송 채널,"droga przesyłowa sygnałów elektrycznych, fdroga przesyłowa, f",canal de transmissão,传输信道
715-01-03,telecommunication circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-03,دارة اتصال عن بعد,"Telekommunikationsleitung, fTelekommunikationsstromkreis, mABGELEHNT: Leitung, fABGELEHNT: Kanal, m",telecommunication circuitDEPRECATED: communication channelDEPRECATED: channel,circuito (de telecomunicación),"circuit de télécommunication, m",circuito (di telecomunicazione),電気通信回線,전기통신 회선,"łącze telekomunikacyjne, nłącze, n","circuito, <de telecomunicação>",电信电路
715-01-04,transmission link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-04,وصلة,"Verbindungsabschnitt, mÜbertragungsstrecke, f",transmission link,enlace,"liaison, f",linea di collegamento,リンク,전송 링크,"łącze transmisji, nłącze przesyłowe, n",ligaçãolinha de ligação,传输链路
715-01-05,telecommunication network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-05,شبكة إتصالات عن بعد,"Telekommunikationsnetz, n","telecommunication networktelecommunication system, US",red de telecomunicación,"réseau de télécommunication, m",rete di telecomunicazione,電気通信網,전기 통신망전기 통신 시스템,"sieć telekomunikacyjna, f",rede de telecomunicação,"电信网络远程通信系统, <US>"
715-01-06,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-06,طرف,"Endgerät, nEndeinrichtung, f",terminal,terminal (de telecomunicación),terminal (de télécommunication) m,terminale,端末,단말,stacja telekomunikacyjna końcowa stacja końcowa końcownik telekomunikacyjny,terminal (de telecomunicação),终端
715-01-07,connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-07,توصيل,"Verbindung, f",connection,cadena de conexión,"(chaîne de) connexion, f",connessione,接続,접속연결,zestaw łączy dukt telekomunikacyjnydukt,(cadeia de) conexão,连接
715-01-08,switching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-08,تبديل,"Vermittlung, f",switching,conmutación,"commutation, f",commutazione,交換,교환스위칭,komutacja,comutação,交换
715-01-09,exchange,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-09,مبدل  (وحدة تحويل)   (كيان تحويل)  (مكتب تحويل),"Vermittlungseinrichtung, f",exchangeswitching unitswitching entityswitching office,central,"commutateur, m",commutatorecentrale di commutazioneautocommutatore,"交換機, 交換ユニット交換ユニット交換施設交換局",교환,centrala telekomutacyjnacentrala,comutador,交换局
715-01-10,"unidirectional, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-10,أحادي الاتجاهوحيد الاتجاه,"einfachgerichtet, Adjektivunidirektional, Adjektiv","unidirectional, adj",unidireccional (sentido 1)unilateral,"unilatéral, adjunidirectionnel, adjDÉCONSEILLÉ: simplex, adj",unidirezionale,単方向の,단방향,"jednokierunkowa, <dotyczy linii telekomunikacyjnej> adj",unidirecionalDESACONSELHADO: simplex,单向的传输
715-01-11,"bidirectional, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-11,ثنائي الاتجاه,"doppeltgerichtet, Adjektivbidirektional, Adjektiv","bidirectional, adj",bidireccionalbilateral,"bilatéral, adjbidirectionnel, adjDÉCONSEILLÉ: duplex, adj",bidirezionale,双方向の,쌍방향양방향,"obukierunkowy, <równoczesny przepłym informacji > adj",bidirecional,双向的传输
715-01-12,"one-way, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-12,أحادي المسار,"einseitig gerichtet, adjektivisch","one-way, adj",de sentido únicounidireccional (sentido 2),"à sens unique, adjDÉCONSEILLÉ: spécialisé, adj",a senso unico,一方向の,"단방향, <관련엔트리: 701-03-20>일방향, <관련엔트리: 701-03-20>","jednokierunkowy, <dotyczy sposobu działania> adj",de sentido único,单方的呼叫
715-01-13,"both-way, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=715-01-13,ثنائي المسار (المسارين ),"beidseitig gerichtet, adjektivisch","both-way, adjtwo-way, adj",de doble sentido,"à double sens, adjDÉCONSEILLÉ: mixte, adj",a doppio senso,両方向の,"양방향, <관련엔트리: 701-03-21>","obustronny, <dotyczy nawiązania telekomunikacji> adj",nos dois sentidosde sentido duplo,双方的呼叫
