term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
561-01-01,adjustment tolerance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-01,سماحية الضبطحدود الضبط المسموح بها,"Abgleichgrenzabweichung, f",adjustment tolerance,"tolerancia de ajuste , <de un resonador piezoeléctrico>","tolérance de calage, f",tolleranza di regolazione,調整許容偏差,조정 허용 편차,"tolerancja wykonania, ftolerancja kalibracji, f",tolerância de ajuste,调整频差
561-01-02,ageing tolerance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-02,سماحية التقادمحدود التقادم المسوح بها,"Grenzabweichung der Frequenzalterung, f",ageing tolerance,"tolerancia de frecuencia, <de un resonador piezoeléctrico>","tolérance de vieillissement, f",tolleranza di invecchiamento,周波数エージング許容偏差,노화 허용 편차,"tolerancja starzeniowa, f",tolerância de envelhecimento,老化频差
561-01-03,"ageing, <of a piezoelectric resonator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-03,تقادم <لرنان كهروإجهادى>تباين معاملات طويلة المدى,"Alterung, <eines piezoelektrischen Resonators> f","ageing, <of a piezoelectric resonator>long-term parameter variation","envejecimiento, <de un resonador piezoeléctrico>","vieillissement, <d’un résonateur piézoélectrique> mvariation de paramètre sur le long terme , f","invecchiamento, <di un risonatore piezoelettrico>variazione del parametro sul lungo termine","経時変化, ＜圧電共振子の＞","노화, <압전 공진기>","starzenie się, <rezonatora piezoelektrycznego> nzmiana parametrów długoterminowa, f","envelhecimento, <de um ressoador piezoelétrico>variação do parâmetro de longa duração , <de um ressoador piezoelétrico>variação do parâmetro a longo prazo , <de um ressoador piezoelétrico>","老化, <压电谐振器的>长期参数变化"
561-01-04,anti-resonance frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-04,تردد مقاوم للرنين,"Antiresonanzfrequenz, <eines piezoelektrischen Resonators> f",anti-resonance frequency,frecuencia de antirresonancia,"fréquence d’antirésonance, f",frequenza di antirisonanza,反共振周波数,반공진 주파수,"częstotliwość antyrezonansowa, f",frequência de anti-ressonância,反谐振频率
561-01-05,bus bar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-05,قضيب توزيع,"Sammelleiter, m",bus bar,barra,"bus de raccordement, m",conduttore comune di connessione,バスバー,모선버스 인입선,"elektroda zbiorcza, f",barramento de ligação,汇流条
561-01-06,capacitance ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-06,النسبة السعوية,"Kapazitätsverhältnis, n",capacitance ratio,relación de capacidad,"rapport de capacité, m",rapporto di capacità,容量比,정전용량비,"stosunek pojemności, m",relação de capacidade,电容比
561-01-07,centre frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-07,تردد مركزى,"Mittenfrequenz, f",centre frequency,frecuencia central,"fréquence centrale , f",frequenza centrale,中心周波数,중심 주파수,"częstotliwość środkowa, f",frequência central,"中心频率, <介电谐振器的>"
561-01-08,"clamped capacitance, <of a piezoelectric resonator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-08,سعة التثبيت <لرنان كهروإجهادى>,"geklemmte Kapazität, <eines piezoelektrischen Resonators> f","clamped capacitance, <of a piezoelectric resonator>","capacidad efectiva bajo esfuerzo, <de un resonador piezoeléctrico>","capacité effective sous contrainte, <d’un résonateur piézoélectrique> f","capacità vincolata, <di un risonatore piezoelettrico>","固定容量, ＜圧電共振子の＞","클램프 커패시턴스, <압전 공진기>","pojemność rezonatora zwartego, f","capacidade efetiva sob esforço , <de um ressoador piezoelétrico>","受夹电容, <压电谐振器的>"
561-01-09,coaxial dielectric resonator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-09,رنان عازل محورى,"koaxialer dielektrischer Resonator, m",coaxial dielectric resonator,resonador dieléctrico coaxial,"résonateur diélectrique coaxial, m",risonatore dielettrico coassiale,同軸誘電体共振器,동축 유전 공진기,"rezonator dielektryczny współosiowy, m",ressoador dieléctrico coaxial,同轴介电谐振器
561-01-10,coplanar resonator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=561-01-10,رنان متحد المستوى,"koplanarer Resonator, m",coplanar resonator,resonador coplanar,"résonateur coplanaire, m",risonatore coplanare,コプレナー共振器,동일평면 공진기공면 공진기,"rezonator koplanarny, m",ressoador coplanar,共面谐振器
