term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
701-01-01,information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-01,معلومات,"Information, f",information,información,tietoinformaatio,"information, f",informazione,情報,정보,informacja,informação,"информација, ж јд",information,信息
701-01-02,signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-02,أشارة,"Signal, n",signal,señal,signaali,"signal, m",segnale,信号,신호,sygnał,sinal,"сигнал, м јд",signal,信号
701-01-03,transmission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-03,إرسال,"Übertragung, f",transmission,transmisión,siirto,"transmission, f",trasmissione,送信，伝送,전송,transmisja,transmissão,"пренос, м јд",transmission,传输
701-01-04,communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-04,اتصالات,"Kommunikation, f",communication,comunicación,viestintä,"communication, f",comunicazione,通信,통신,"telekomunikacja, fłączność, f",comunicação,"комуникација, ж јд",kommunikation,通信
701-01-05,telecommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-05,اتصال عن بعد,"Telekommunikation, f",telecommunication,telecomunicación,tietoliikenneteleliikenne,"télécommunication, f",telecomunicazione,電気通信,전기 통신원격 통신,"telekomunikacja, f",telecomunicação,"телекомуникације, ж мн",telekommunikation,电信
701-01-06,telephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-06,الإرسال الهاتفي,"Telefonie, fFernsprechen, n",telephony,telefonía,puhelinliikenne,"téléphonie, f",telefonia,電話,전화,"telefonia, f",telefonia,"телефонија, ж јд",telefoni,电话语音通信
701-01-07,telegraphy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-07,الارسال البرقي,"Telegrafie, f",telegraphy,telegrafía,lennätinliikenne,"télégraphie, f",telegrafia,電信,전신,telegrafia,telegrafia,"телеграфија, ж јд",telegrafi,电报
701-01-08,telex (service),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-08,تلكس (خدمة),"Telexdienst, mTelex, n",telex (service),(servicio) télextelex (servicio),teleksi,"(service) télex, m",telex,テレックス,"가입전신 서비스, teleprinter exchange의 합성어합성어텔렉스 서비스",teleks,(serviço de) telex,"телекс, <служба> м јд",telex,电报业务
701-01-09,facsimile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-09,بريد مصورنسخة طبق الاصل ترسل عن بعد,"Faksimile, nFernkopieren, n",facsimiletelecopy,facsímil,telekopiointi,"télécopie, ftélégraphie fac-similé (terme désuet) ffac-similé (terme déconseillé dans ce sens) m",fac simile,ファクシミリ,모사 전송팩시밀리,symilografiatelefakstelekopia,telecópiatelefaxfac-simile (desaconselhado),"факсимил, м јдтелекопија, ж јд",telefaksimiltelefax,传真
701-01-10,telewriting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-10,الكتابة عن بعد,"Bildfernschreiben, n",telewritingteleautography,teleescritura,telepiirto,"téléécriture, ftéléautographie, f",telescrittura,手書き通信,도형 문자 통신서신 통신,"teleskrypcja, f",tele-escritatele-autografia,"телеписмо, с јд",teleautografi,电写
701-01-11,data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-11,بياناتمعطيات,"Daten, pl",data,datos,data,"données, f pl",dati,データ,자료데이터,dane,dados,"податак, м јд",data,数据
701-01-12,data communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-12,إتصال لنقل  بياناتِارسال بيانات   اتصال بيانات,"Datenkommunikation, fDatenübertragung, f, (abgelehnt)",data communicationdata transmission (deprecated in this sense),comunicación de datostransmisión de datos (desaconsejado en este sentido),dataliikenne,"communication de données, ftransmission de données (terme déconseillé dans ce sens) f",trasmissione dati,データ通信,자료통신데이터 통신,teledacja,comunicação de dados,"комуникација података, ж јдНАПУШТЕН: пренос података, м јд",datakommunikation,数据通信
701-01-13,data transmission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-13,نقل البياناتنقل المعطيات,"Datenübertragung, f",data transmission,transmisión de datos,datasiirto,"transmission de données, f",trasmissione dati,データ送信データ伝送,데이터 전송자료 전송,transmisja danych,transmissão de dados,"пренос података, м јд",dataöverföring,数据传输
701-01-14,teleprocessing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-14,المعالجة عن بعد,"Datenfernverarbeitung, f",teleprocessing,teleinformáticateleproceso,etäkäsittely,"téléinformatique, ftélétraitement, m",teleinformatica,遠隔処理,원격 처리,teleinformatyka,tele-informáticateleprocessamentoteletratamento,"телепроцесирање, с јд",fjärrdatabehandling,运程处理
701-01-15,television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-15,الإرسال المرئيتلفزيون,"Fernsehen, n",televisionTV,televisión,televisio,"télévision, fTV, f",televisione,テレビジョンテレビ,텔레비전,"telewizja, f",televisão,"телевизија, ж јд",television,电视
701-01-16,telematics (services),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-16,خدمات الاتصال عن بعد,"Telematikdienste, m plTelematik, f",telematics (services),telemática (servicios de),telemaattiset palvelut,"(services de) télématique, f",telematica (servizi di),テレマティックス,"텔레매틱스 서비스, telecommunication informatics의 합성어",telematyka,(serviço de) telemática,"телематика, <служба> ж јд",telematik,远程信息服务
701-01-17,videography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-17,نظام ارسال للبيانات الرقمية والسماح بعرضها على وحدة  عرض مرئى,"Videografie, f",videography,videografía,videografia,"vidéographie, f",videografia,ビデオ撮影,비디오그래피영상화법,"wizjografia, f",videografia,"видеографија, ж јд",,可视图文
701-01-18,broadcast videography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-18,بث البيانات الرقمية المسموح بعرضها على وحدة عرض مرئى,"Videotext, mTeletext, m",broadcast videographyteletext,teletextovideografía radiodifundida,tekstitelevisioteleteksti,"vidéographie diffusée, ftélétexte, m",televideo,文字多重放送,방송 비디오그래피방송 영상화법,"teletekst, mwizjografia dyfuzyjna, f",teletextovideografia difundida,"телетекст, м јдрадиодифузна видеографија, ж јд",text-TV,图文广播
701-01-19,videotex,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-19,الصور المرئية المتبادلة,"Bildschirmtext, m",videotexinteractive videography,videografia interactivavideotex,teletietopalvelu,"vidéotex, mvidéographie interactive, f",videotel,ビデオテックス,비데오텍스대화식 영상화법,wizjografia porozumiewawcza wideoteks,videotexto,"видео-текст, м јдинтерактивна видеографија, ж јд",teledata,可视电话
701-01-20,teletex (service),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-20,خدمة ارسال وعرض النص مرئياً,"Teletexdienst, mTeletex, nBürofernschreiben, n",teletex (service),(servicio) teletexteletex (servicio),teleteksi,"(service) télétex, m",teletex,テレテックス,텔레텍스 서비스문자방송 서비스,teleteks,(serviço de) teletex,"телетекст, <служба> м јд",teletex,电传服务
701-01-21,video-telephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-21,هاتف مرئى,"Bildtelefonie, fBildfernsprechen, n",video-telephonyviewphonevisual telephone,videofoníavideoteléfono,kuvapuhelin,"visiophone, mvidéophonie (terme déconseillé) f",videotelefono,テレビ電話,영상 전화비디오 전화,wizjotelefonia,visiofoniavideofonia,"видео-телефонија, ж јдвидео-телефон, м јдвизуелни телефон, м јд",bildtelefoni,可视电话
701-01-22,teleconference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-22,مؤتمر باستخدام شبكة الاتصالاتمداوله عن بعد,"Telekonferenz, f",teleconference,teleconferencia,teleneuvottelu,"téléconférence, f",teleconferenza,テレビ会議,원격 회의,telekonferencja,teleconferência,"телеконференција, ж јд",telekonferens,电话会议
701-01-23,audioconference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-23,مؤتمر باستخدام الاتصال الصوتيمداوله سمعيه,"Telefonkonferenz, fFernsprechkonferenz, f",audioconference,audioconferencia,puhelinneuvottelu,"audioconférence, f",audioconferenza,電話会議,음성 회의,audiokonferencja,audioconferência,"аудио-конференција, ж јд",telefonkonferens,音频电话会议
701-01-24,videoconference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-24,مؤتمر باستخدام الاتصال المرئيمداوله مرئيه,"Videokonferenz, f",videoconference,videoconferencia,videoneuvottelu,"visioconférence, fvidéoconférence, f",videoconferenza,テレビ会議,영상 회의화상 회의,wizjokonferencja,visioconferênciavideoconferência,"видео-конференција, ж јд",,可视电话会议
701-01-25,telemetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-25,قياس عن بعد,"Fernmessen, nTelemetrie, f",telemetrytelemetering,telemedida,kaukomittaus,"télémesure, f",telemisura,テレメトリー遠隔測定法,원격 측정법원격 측정,telemetria,telemetriatelemedição,"телеметрија, ж јдтелемерење, с јд",fjärrmätning,遥测
701-01-26,telecommand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-26,أمر تحكم عن بعد,"Fernsteuern, n",telecommand,telemando,kauko-ohjaus,"télécommande, f",telecomando,遠隔コマンド,원격 명령,telesterowanie sterowanie zdalne,telecomando,"телекоманда, ж јд",fjärrmanövreringtelekommando,遥信
701-01-27,telecontrol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-27,تحكم عن بعد,"Fernwirken, n",telecontrol,telecontrol,kaukokäyttö,"téléconduite, f",telecontrollo,遠隔制御,원격 제어,teleregulacja,teleacçãoteleconduçãotelecontrolotelecontrole,"телеуправљање, с јд",fjärrstyrning,遥控
701-01-28,teleguidance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-28,توجيه عن بعد,"Fernlenken, nFernbedienen, n",teleguidance,teledirecciónteleguía,työkoneen kauko-ohjaus,"téléguidage, m",teleguida,遠隔操縦,원격 안내,teleprowadzenie,teleguiamento,"телевођење, с јд",fjärrstyrning av fordon,导航
701-01-29,telemonitoring,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-29,مراقبة عن بعد,"Fernüberwachen, n",telemonitoring,telesupervisióntelevigilancia,kaukovalvonta,"télésurveillance, f",telesorveglianza,遠隔監視,원격 감시,telenadzór . telemonitoring,televigilância,"теленадзор, м јд",fjärrövervakning,遥察
701-01-30,remote alarm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-30,انذار عن بعد,"Fernalarm, m",remote alarm,telealarma,kaukohälytys,"téléalarme, f",teleallarme,遠隔警報,원격 경보,telealarm,telealarme,"даљински аларм, м јд",fjärrlarm,遥警
701-01-31,radiocommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-31,الاتصال اللاسلكى,"Funk, mFunkverkehr, m",radiocommunication,radiocomunicación,radioliikenne,"radiocommunication, f",radiocomunicazione,無線通信,무선 통신전파 통신,radiokomunikacja,radiocomunicação,"радио-комуникације, ж мн",radiokommunikation,无线电通信
701-01-32,broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-32,بث,"Rundfunk, mRundsendung, f",broadcasting,teledifusión,yleislähetys,"télédiffusion, f",telediffusione,放送,방송,"teledyfuzja, ftransmisja rozgłoszeniowa danych, f",teledifusão,"радио-дифузија, ж јд",rundradioutsändning(rundradio)utsändning,播放
701-01-33,broadcasting service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-33,خدمة البث,"Rundfunkdienst, m",broadcasting service,radiodifusión,yleisradioyleisradiolähetys,"radiodiffusion, f",radiodiffusione,放送サービス,방송 서비스,"usługi radiokomunikacyjne, f pl",radiodifusão,"радио-дифузија, <служба> ж јд",rundradio(tjänst),广播业务
701-01-34,sound broadcasting (service),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-34,خدمة البث الصوتي,"Tonrundfunk, mHörfunk, m",sound broadcasting (service),radiodifusión (sonora),radiolähetysääniradiolähetys,"radiodiffusion (sonore), f","radio (sottointendendo il ""sonora""e il ""diffusa"")",音声方法,음성 방송 서비스음향 방송 서비스,radiofonia,radiodifusão (sonora),"радио-дифузија звука, <служба> ж јд",ljudrundradio,声音广播
701-01-35,television broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-35,خدمة البث المرئيخدمة البث التلفزيوني,"Fernsehrundfunk, mABGELEHNT: Fernsehen, n",television broadcastingDEPRECATED: television,(radiodifusión de) televisión,televisiolähetys,"radiodiffusion de télévision, fradiodiffusion visuelle, ftélévision, f",televisione (diffusione),テレビ放送,텔레비전 방송,"radiodyfuzja telewizyjna, f",radiodifusão visualradiodifusão de televisão,"телевизијска радио-дифузија, <служба> ж јд",TV-sändning  tevesändning,电视广播
701-01-36,cabled distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-01-36,التوزيع بالكابلاتتوزيع سلكى,"Breitband-Kabelverteilung, f",cabled distribution wired broadcasting,distribución por cable,kaapelijakelukaapelilähetys,"télédistribution, fcâblodistribution, fdistribution par câble, f",diffusione via cavo,有線配信,유선 분배유선 방송,"telekomunikacja przewodowa, f","teledistribuiçãodistribuição por cabo, <de televisão>","кабловска дистрибуција, ж јд",ledningsbunden distribution,有线广播
701-02-01,transmission channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-01,قناة (إرسال),"Übertragungskanal, mKanal, m",transmission channel,canal (de transmisión),kanavasiirtokanava,"voie de transmission, f",via (di trasmissione) unidirezionale,伝送チャネル,전송 채널,"kanał transmisyjny, mkanał, m",canal de transmissão,"преносни канал, м јд",transmissionskanal,传输信道
701-02-02,telephone-type channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-02,قناة (هاتفية),"telefontypischer Kanal, mfernsprechtypischer Kanal, m",telephone-type channel,canal de tipo telefónico,puhelinkanava,"voie de type téléphonique, f",via di tipo telefonico,電話型チャネル,전화형 채널,"kanał typu telefonicznego, m",canal de tipo telefónico,"телефонски канал, м јд",telefonikanal,电话类信道
701-02-03,telecommunication circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-03,دارة (إتصال عن بعد),"Telekommunikationsleitung, fTelekommunikationsstromkreis, mABGELEHNT: Leitung, fABGELEHNT: Kanal, m",telecommunication circuitDEPRECATED: communication channelDEPRECATED: channel,circuito (de telecomunicación),johtotietoliikennejohto,"circuit de télécommunication, mcircuit, <en télécommunication> m",circuito (di telecomunicazione),電気通信回線,전기통신 회선원격통신 회선,"łącze telekomunikacyjne, nłącze, n","circuito, <de telecomunicação>","телекомуникационо коло, с јд",teleförbindelse,电信电路
701-02-04,telephone-type circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-04,دارة هاتفية,"telefontypischer Stromkreis, mfernsprechtypischer Stromkreis, m",telephone-type circuit,circuito de tipo telefónico,puhelinjohto,"circuit de type téléphonique, m",circuito di tipo telefonico,電話型回線,전화형 회로,łącze typu telefonicznego,circuito de tipo telefónico,"телефонско коло, с јд",telefonförbindelse,电话类电路
701-02-05,(frequency) channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-05,قناة (التردد),"frequenzbegrenzter Kanal, m",(frequency) channel,canal (de frecuencias),kanavataajuuskanava,"canal (de fréquences), m",canale (di frequenza),周波数チャネル,주파수 채널,kanał częstotliwościowy,canal (de frequências),"фреквенцијски канал, м јд",frekvenskanal,频道
701-02-06,transmission link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-06,وصلة,"Verbindungsabschnitt, mÜbertragungsstrecke, f",transmission link,enlace,siirtotielinkki,"liaison, f",collegamento,リンク,전송 연결전송 링크,"łącze transmisji, nłącze przesyłowe, n",ligaçãolinha de ligação,"веза, ж јд",länk,传输链路
701-02-07,telecommunication network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-07,شبكة اتصالات,"Telekommunikationsnetz, n","telecommunication networktelecommunication system, US",red de telecomunicación,televerkkotietoliikenneverkko,"réseau de télécommunication, m",rete di telecomunicazioni,電気通信網電気通信ネットワーク,전기 통신망,"sieć telekomunikacyjna, f",rede de telecomunicação,"телекомуникациона мрежа, ж јдтелекомуникациони систем, м јд",telenät,电信网络
701-02-08,(telecommunication) terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-08,وحدة (اتصالات) طرفية,"Telekommunikationsendgerät, nEndgerät, n",(telecommunication) terminal,terminal (de telecomunicación),päätepäätelaite,"terminal (de télécommunication), m",terminale,（電気通信）端末,전기통신 단말,aparat telekomunikacyjny końcowy aparat końcowyterminal (telekomunikacyjny),terminal (de telecomunicação),"телекомуникациона терминалска опрема, ж јд",terminal,电信终端
701-02-09,subscriber's line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-09,خط مشترك,"Teilnehmeranschlussleitung, f",subscriber's linesubscriber loop,bucle de abonadolínea de abonado,tilaajajohto,"ligne d'abonné, fligne de rattachement, f",linea d'abbonato,加入者回線,가입자 회선가입자 선,linia abonencka,linha de assinante,"корисничка линија, ж јдкорисничка петља, ж јд",abonnentledning,用户线
701-02-10,port (of a network),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-10,منفذ (شبكة),"Netzzugang, m",port (of a network),acceso (de una red)puerta (de una red),liittymä,"accès (d'un réseau), m",accesso (ad una rete),ポート（ネットワークの）,망 단자쌍망 포트망 접속구,dostęp do sieci,acesso (a uma rede),"порт, <мреже> м јд",port,"端口, <网络的>"
