term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
851-11-01,welding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-01,لحام,"Schweißen, n",welding,soldadura,"soudage, m",saldatura,溶接,용접,spawanie (dotyczy różnych technik)zgrzewanie (dotyczy różnych technik),soldadura,svetsning,焊接
851-11-02,soldering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-02,لحام قصدير,"Löten, n",soldering,soldadura con metal de aportación de bajo punto de fusión,"brasage, m",brasatura (saldatura in generale),ろう接,납땜,lutowanie,brasagem,lödning,钎焊
851-11-03,brazing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-03,لحام بالنحاس الأصفر,"Hartlöten, n",brazing,soldadura fuerte,"brasage fort, m",saldatura forte (brasatura),ろう付,납땜브레이징경납땜,lutowanie twarde,brasagem forte,hårdlödning,硬钎焊
851-11-04,soft soldering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-04,لحام طري,"Weichlöten, n",soft soldering,soldadura blanda,"brasage tendre, m",saldatura dolce,はんだ付け,연납땜,lutowanie miękkie,brasagem fraca,mjuklödning,软钎焊
851-11-05,thermal cutting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-05,قطع حراري,"thermisches Trennen, nthermisches Schneiden, n",thermal cutting,corte térmico,"coupage thermique, m",taglio termico,熱切断,열절단,cięcie termicznecięcie cieplne,corte térmico,termisk skärning,热切割
851-11-06,fusion welding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-06,لحام بالانصهار,"Schmelzschweißen, n",fusion welding,soldadura por fusión,"soudage par fusion, m",saldatura per fusione,融接,용융용접,spawanie,soldadura por fusão,smältsvetsning,熔焊
851-11-07,arc welding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-07,لحام قوس كهربائي,"Lichtbogenschweißen, n",arc welding,soldadura por arco,"soudage à l'arc, m",saldatura ad arco,アーク溶接,아크용접,spawanie łukowe,soldadura por arco (eléctrico)soldadura a arco,bågsvetsning,电弧焊弧焊
851-11-08,resistance welding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-08,لحام مقاومه,"Widerstandsschweißen, n",resistance welding,soldadura por resistencia,"soudage par résistance, m",saldatura a resistenza,抵抗溶接,저항용접,zgrzewanie rezystancyjne,soldadura por resistência,motståndssvetsning,电阻焊
851-11-09,welding installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-09,تجهيزه لحام,"Schweißanlage, f",welding installation,instalación de soldadura,"installation de soudage, f",impianto di saldatura,溶接設備,용접 설비,instalacja spawalnicza,instalação de soldadura,svetsinstallation,焊接装备
851-11-10,expert,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-10,خبير,"Fachkraft, f",expertcompetent personskilled person,experto,"expert, mpersonne compétente, fpersonne qualifiée, f","persona esperta, persona competente",専門家有資格者熟練者,전문가,ekspert,peritopessoa competentepessoa qualificada,"expert (kompetent person, fackkunnig person)",专业人员
851-11-11,visual inspection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-11,فحص ظاهري,"Sichtprüfung, f",visual inspection,examen visual,"examen visuel, m",esame visivo,目視検査,외관검사육안검사,badania wizualne,inspecção visual,visuell inspektion,目视检查
851-11-12,industrial and professional use,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-12,استخدام صناعي متخصص,"gewerblicher Betrieb, m",industrial and professional use,empleo industrial y profesional,"usage industriel et professionnel, m",uso industriale e professionale,工業用及び専門家用,산업 및 전문직 용,użytkowanie przemysłowe i profesjonalne,uso industrial e profissional,industriell och yrkesmässig användning,工业和专业使用
851-11-13,instructed person,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-13,شخص موجه,"unterwiesene Person, f",instructed person,persona instruida,"personne avertie, f",persona avvertita,教育訓練を受けた者,기능자,osoba przeszkolona,pessoa instruída,instruerad person,指派人员
851-11-14,layman (in arc welding),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-14,عامل غير محترف( في اللحام بالقوس الكهربائي),"Laie (im Lichtbogenschweißen), m",layman (in arc welding),no profesional,"non-professionnel, m",non professionale (nella saldatura ad arco),非専門家,"비전문가, 아크 용접",nieprofesjonalista (w spawaniu łukowym),não profissional,lekman,"非专业人员, <电焊弧的>"
851-11-15,Lower Explosive Limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-15,حد أدني للانفجار,"untere Explosionsgrenze, fUEG, f Abkürzung",Lower Explosive LimitLEL (abbreviation),Límite Inferior de Explosividad LIE (abreviatura),"Limite Inférieure d’Explosivité, fLIE (abréviation) f",limite esplosivo inferiore,"下限爆発許容値LEL, （略語）",폭발 하한계엘이엘,granica wybuchowości dolnaLEL (akronim),Limite Inferior de Explosividade,undre explosionsgräns,爆炸下限LEL
851-11-16,Upper Explosive Limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-16,حد أعلي للانفجار,"obere Explosionsgrenze, fOEG, f Abkürzung",Upper Explosive LimitUEL (abbreviation),Límite Superior de Explosividad LSE (abreviatura),"Limite Supérieure d’Explosivité, fLSE (abréviation) f",limite esplosivo superiore,"上限爆発許容値UEL, （略語）",폭발 상한계유이엘,granica wybuchowości górnaUEL (akronim),Limite Superior de Explosividade,övre explosionsgräns,爆炸上限UEL
851-11-17,manual metal-arc welding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-17,لحام قوس كهربائي معدني يدوي,"Lichtbogenhandschweißen, n",manual metal-arc welding,soldadura manual por arco metálico,"soudage manuel à l'arc métallique, m",saldatura manuale ad arco con elettrodo,被覆アーク溶接,수동 금속 아크용접,ręczne spawanie łukowe elektrodą otuloną,soldadura manual por arco metálicosoldadura manual a arco metálico,manuell metallbågsvetsning,手工焊条电弧焊焊条电弧焊
851-11-18,protective clothing and accessories,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-18,ملابس ومستلزمات حماية وملحقات,"Schutzkleidung und Zubehör, f, n",protective clothing and accessories,ropa y accesorios de protección,"vêtements et accessoires de protection, m pl",indumenti di protezione e accessori,防護服及び附属品,보호복 및 부속품,odzież i akcesoria ochronne,vestuário e acessórios de protecção,skyddskläder och skyddsutrustning,防护服及辅助用品
851-11-19,workpiece,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-11-19,الشغلة,"Werkstück, n",workpiece,pieza de trabajo,"pièce mise en œuvre, f",piastra di lavoro,母材ワークピース,공작물,przedmiot,peça de trabalho,arbetsstycke,工件
851-12-01,rating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=851-12-01,مقننات,"Bemessungsdaten, pl",rating,características asignadas,"caractéristiques assignées, f pl",caratteristiche nominali,定格,등급,dane znamionowe,características estipuladas,märkdata,额定数据
