term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
714-01-01,communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-01,اتصال,"Kommunikation, f",communication,comunicación (sentido 1),"communication, f",comunicazione (1° significato),通信,통신,"łączność, ftelekomunikacja, f",comunicação,kommunikation,通信
714-01-02,telecommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-02,اتصال عن بعد,"Telekommunikation, f",telecommunication,telecomunicación,"télécommunication, f",telecomunicazione,電気通信,전기통신,telekomunikacja,telecomunicação,telekommunikation,电信
714-01-03,"conversation, <in telecommunication>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-03,محادثة (في الاتصال عن بعد),"Gespräch, <in der Telekommunikation> n","conversation, <in telecommunication>",conversación (en telecomunicación),"conversation, <en télécommunication> f",conversazione,会話,"대화, <전기통신>","rozmowa, <za pośrednictwem tele-komunikacji> f","conversação, <em telecomunicação>",samtal,"会话, <电信中>"
714-01-04,busy condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-04,حالة انشغال,"Belegtzustand, mBesetztzustand, m",busy conditionoccupation,ocupación,"occupation, f",condizione di occupato,ビジー状態,통화중 상태,zajętość stan zajętości,ocupação,upptaget(tillstånd),忙状态占线
714-01-05,transmission channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-05,قناة (إرسال),"Übertragungskanal, mKanal, m",transmission channel,canal (de transmisión),"voie de transmission, f",canale (di trasmissione),伝送チャネル,전송 채널,"kanał transmisyjny, mkanał, m",canal de transmissão,kanal,传输信道传输通路
714-01-06,telecommunication circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-06,دارة (اتصال عن بعد),"Telekommunikationsleitung, fTelekommunikationsstromkreis, mABGELEHNT: Leitung, fABGELEHNT: Kanal, m",telecommunication circuitDEPRECATED: communication channelDEPRECATED: channel,circuito (de telecomunicación),"circuit de télécommunication, m",circuito (di comunicazione),電気通信回線,전기통신 회선,"łącze telekomunikacyjne, nłącze, n","circuito, <de telecomunicação>",kretsteleförbindelse,电信电路
714-01-07,(transmission) path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-07,مسار (إرسال),"Übertragungsweg, m",(transmission) path,trayecto (de transmisión),"trajet (de transmission), m",percorso (di trasmissione),伝送路,전송 경로,droga przesyłowa droga transmisyjna,percurso (de transmissão),överföringsvägvia,传输通道
714-01-08,transmission link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-08,وصلة,"Verbindungsabschnitt, mÜbertragungsstrecke, f",transmission link,enlace,"liaison, f",connessione,リンク,전송 링크전송 연결,"łącze transmisji, nłącze przesyłowe, n",ligaçãolinha de ligação,länk,传输链路
714-01-09,connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-09,توصيل,"Verbindung, f",connection,cadena de conexión,"chaîne de connexion, f",catena delle connessioni di un collegamento,接続,연결접속,zestaw łączy połączenie (1),cadeia de conexão,förbindelse,连接
714-01-10,(complete) connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-10,توصيل (كامل),"vollständige Verbindung, f",(complete) connection,cadena de conexión completa,"chaîne de connexion complète, f(chemin de) communication, f",collegamento,（完全）接続,완전 연결,zestaw łączy kompletny połączenie kompletne,cadeia de conexão completa,upprättad förbindelse,完整连接
714-01-11,call,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=714-01-11,نداء,"Anruf, m",call,comunicación (sentido 2),communication (2) f,chiamatacomunicazione (2° significato),コール呼び出し呼,호,połączenie telekomunikacyjne połączenie (2),chamada,samtalsförbindelse,呼叫
