term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
371-01-01,telecontrol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-01,محول من التوازي إلى المتتالي,"Fernwirktechnik, fFernbedienung, f",telecontrol,telecontrol,kaukokäyttö,"téléconduite, f",telecontrollo,遠隔制御,원격 제어,telesterowaniesterowanie zdalne,telecontrolteleacçãotelecontrole,daljinsko vodenje,fjärrstyrning,远动
371-01-02,telemonitoring,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-02,تحكم عن بعد,"Fernüberwachen, n",telemonitoring,televigilancia,kaukovalvonta,"télésurveillance, f",telemonitoraggiotelesorveglianza,遠隔監視,원격 감시,nadzór zdalny,telemonitoraçãotelevigilância,daljinski nadzor,fjärrövervakning,远程监视
371-01-03,telemetering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-03,مراقبة عن بعد,"Fernmessen, n",telemetering,telemedida,kaukomittaus,"télémesure, f",telemisura,遠隔測定,원격 측정,telemetriapomiary zdalne,telemedição,daljinsko merjenje,fjärrmätning,遥测远程测量
371-01-04,teleindication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-04,نقل القياسات عن بعد,"Fernanzeigen, n",teleindicationtelesignalisation (deprecated),teleseñalización,kaukomerkinanto,"télésignalisation, f",telesegnalazione,遠隔表示,원격 지시,teleindykacjawskazywanie zdalne,telessinalização,daljinska indikacija,fjärrindikering,遥信远程信号
371-01-05,telecounting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-05,مراقبة البيان عن بعدمراقبة الاشارة عن بعد,"Fernzählen, n",telecountingtransmission of integrated totals,telecuenta,kaukolaskentaintegroitujen arvojen siirto,"télécomptage, mtransmission de valeurs intégrées, f",teleconteggio,遠隔計数,원격 계측,zliczanie zdalne,telecontagemtransmissão de valores integrados,daljinsko štetje,fjärrmätning av ackumulerade pulsvärden,远程累计累计传输
371-01-06,telecommand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-06,تعداد عن بعد,"Fernsteuern, n",telecommand,telemando,kauko-ohjaus,"télécommande, f",telecomando,遠隔コマンド,원격 명령,rozkazywanie zdalne,telecomando,daljinsko krmiljenje,fjärrmanövrering,遥控远程命令
371-01-07,teleswitching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-07,أمر عن بعد,"Fernschalten, n",teleswitching,teleconmutación,kaukokytkentä,"télécommutation, f",telecomando di organi a due posizioni,遠隔切替,원격 개폐,przełączanie zdalne,telecomutação,daljinsko stikanje,fjärr(om)koppling,远程切换
371-01-08,teleadjusting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-08,تبديل عن بعد,"Ferneinstellen, n",teleadjusting,teleposicionamiento,kaukoasettelu,"télécommande de position, f",telecomando di organi a più posizioni,遠隔調整,원격 조정,nastawianie zdalne,telecomando de posição,daljinsko nastavljanje,fjärrinställning,遥调远程调节
371-01-09,teleinstruction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-09,ضبط عن بعد,"Fernanweisen, n",teleinstruction,teleinstrucción,kauko-ohje,"téléinstruction, f",teleordine,遠隔指令,원격 지령,polecenie zdalne,teleinstrução,daljinski nalog,fjärrinstruktion,远程指令
371-01-10,teleregulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-01-10,تعليمات عن بعد,"Fernregeln, n",teleregulation,telerregulación,kaukosäätö,"télérégulation, f",teleregolazione,遠隔規制,원격 조절원격 조정,teleregulacjaregulacja zdalna,telerregulação,daljinska regulacija,fjärreglering,远程调整
371-02-01,monitored information (in telecontrol),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-01,تنظيم عن بعد,"Meldung (in der Fernwirktechnik), f",monitored information (in telecontrol),información de vigilancia (en telecontrol),valvontatieto,information de surveillance (en télé-conduite) f,informazione di sorveglianza,監視情報,"감시 정보, <원격제어>",informacja kontrolna (w sterowaniu zdalnym),informação monitorada (em telecontrolo)informação de vigilância (em telecomando),nadzorna informacija (pri daljinskem vodenju),övervakningsinformation,"监视信息, <远动的>"
371-02-02,state information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-02,معلومات تحت المراقبة,"Zustandsmeldung, f",state information,información de estado,tilatieto,"information d'état, f",informazione di stato,状態情報,상태 정보,informacja o stanie,informação de estado,informacija o stanju,lägesinformation; statusinformation,状态信息
371-02-03,binary state information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-03,معلومات حالة,"binäre Zustandsmeldung, f",binary state information,información binaria de estado,kaksitilatieto,"information binaire d'état, f",informazione di stato binaria,バイナリ状態情報,이진 상태 정보,informacja o stanie binarnym,informação binária de estado,informacija o binarnem stanju,binär statusinformation,双态信息
371-02-04,event information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-04,معلومات  حالة ثنائية,"Ereignismeldung, f",event information,información de cambio de estado,tapahtumatieto,"information de changement d'état, f",informazione di evento,イベント情報,사건 정보,informacja o zmianie stanu,informação de mudança de estado,informacija o dogodku,händelseinformation; ändringsinformation,事件信息
371-02-05,return information (in telecontrol),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-05,معلومات حدث,"Rückmeldung (in der Fernwirktechnik), f",return information (in telecontrol),información de confirmación (en telecontrol),palautetieto,information d'exécution (en téléconduite) f,informazione di ritorno,戻り値情報,"복귀 정보, <원격제어>",informacja kwitująca,informação de execução (em telecomando),povratna informacija (pri daljinskem vodenju),kvittering; återindikering,"返回信息, <远动的>"
371-02-06,incremental information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-06,معلومات راجعة,"Inkrementmeldung, f",incremental information,información incremental,muutosmäärätieto,"information incrémentale, f",informazione di tendenza,増分情報,증분 정보,informacja o zmianie wielkości,informação incremental,informacija o prirastku,inkremental information; steginformation,增量信息
371-02-07,single-point information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-07,معلومات تزايديه,"Einzelmeldung, f",single-point information,información de señalización simple,yksitilatieto,"information de signalisation simple, f",informazione semplice,単一点情報,단일점 정보,informacja jednobitowa,informação de sinalização simples,enobitna informacija,enkelindikering; enkel binär information,单点信息
371-02-08,double-point information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-08,معلومات نقطة وحيدة,"Doppelmeldung, f",double-point information,información de señalización doble,kaksitilatieto,"information de signalisation double, f",informazione doppia,２地点情報,이중점 정보,informacja dwubitowa,informação de sinalização dupla,dvobitna informacija,dubbelindikering; dubbel binär information,双点信息
371-02-09,intermediate state information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-09,معلومات نقطة مزدوجة,"Zwischenstellungsmeldung, f",intermediate state information,información de estado intermedio,välitilatieto,"information d'état intermédiaire, finformation de manoeuvre en cours, f",informazione di stato intermedio,中間状態情報,중간 상태 정보,informacja o stanie pośrednim,informação de estado intermédioinformação de manobra em curso,informacija o vmesnem stanju,mellanlägesindikering,中间状态信息
371-02-10,faulty state information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-10,معلومات حالة بينية,"Stellungsfehlermeldung, f",faulty state information,información de estado de defecto,vikatilatieto,"information d'anomalie d'état, f",informazione di allarme,故障状態情報,장애 상태 정보고장 상태 정보,informacja o anomalii,informação de estado anómalo,informacija o nenormalnem stanju,fellägesindikering; felstatusinformation,故障状态信息
371-02-11,fleeting information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-11,معلومات حالة عطل,"Kurzzeitmeldung, f",fleeting informationtransient information,información fugitiva,hipaisutieto,"information fugitive, f",informazione fuggitivainformazione transitoria,過渡的情報,과도 정보,informacja ulotna,informação fugaz,kratkotrajna informacijaprehodna informacija,övergående indikering; transientindikering,速变信息瞬间信息
371-02-12,persistent information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-12,معلومات متسربة معلومات عابرة,"Dauermeldung, f",persistent information,información persistente,pysyväistieto,"information permanente, f",informazione permanente,持続的情報,지속 정보,informacja trwała,informação permanenteinformação persistente,trajna informacija,kvarstående indikering,持续信息
371-02-13,group alarm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-13,معلومات دائمة,"Gruppenwarnmeldung, f",group alarm,grupo de alarmas,ryhmähälytys,"groupement d'alarmes, malarmes groupées, f pl",allarme comune parziale,グループ警報,군 경보,alarm grupowy,agrupamento de alarmesalarmes agrupados,skupinski alarm,grupplarm,组合报警
371-02-14,common alarm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-02-14,إنذارات مجمعة,"Summenwarnmeldung, f",common alarm,alarma común,yhteishälytys,"alarme commune, f",allarme comune parziale,共通警報,공통 경보,alarm główny,alarme comum,skupni alarm,summalarmgemensamt larm,总报警
371-03-01,command (in telecontrol),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-01,إنذار عام,"Befehl (in der Fernwirktechnik), m",command (in telecontrol),mando (en telecontrol),ohjaus,"commande (en téléconduite) fordre de commande, m",comando,コマンド,"명령, <원격제어>",rozkaz (telesterowania),comando (em telecontrolo),ukaz (pri daljinskem vodenju)komanda (pri daljinskem vodenju),kommando,"命令, <远动的>"
371-03-02,single command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-02,أمر ( في التحكم عن بعد ),"Einzelbefehl, m",single command,mando simple,yksittäisohjaus,"commande simple, f",comando singolo,シングルコマンド,단일 명령단일 지령,rozkaz prosty,comando simples,enojni ukaz,enkelt kommando,单命令
371-03-03,double command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-03,أمر وحيد,"Doppelbefehl, m",double command,mando doble,kaksoisohjaus,"commande double, f",comando doppio,ダブルコマンド,이중 명령,rozkaz podwójny rozkaz złożony,comando duplo,dvojni ukaz,dubbelt kommando,双命令
371-03-04,pulse command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-04,أمر مزدوج,"Impulsbefehl, m",pulse command,mando por impulso,pulssiohjaus,"commande par impulsion, f",comando impulsivo,パルスコマンド,펄스 명령,rozkaz jednoimpulsowy,comando impulsionalcomando por impulso,impulzni ukaz,impulskommando,脉冲命令
371-03-05,maintained command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-05,أمر نبضي,"Befehl mit Selbsthaltung, m",maintained command,mando mantenido,pito-ohjaus,"commande maintenue, f",comando temporizzato,保持コマンド,유지 명령,rozkaz podtrzymywany,comando mantido,zadržani ukaz,hållkommandoutdraget kommando,保持命令
371-03-06,persistent command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-06,أمر محافظ عليه,"Dauerbefehl, m",persistent command,mando continuo,pysyväisohjaus,"commande continue, f",comando continuo,持続的コマンド,지속 명령,rozkaz ciągły,comando contínuo,trajni ukaz,kontinuerligt kommando,持续命令
371-03-07,starting command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-07,أمر دائم,"Startbefehl, m",starting command,mando de arranque,käynnistysohjaus,"commande de mise en marche, f",comando di avvio,起動コマンド,시작 명령,rozkaz startu start,comando de arranque,startni ukazzagonski ukaz,startkommando,启动命令
371-03-08,stop command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-08,أمر بدء,"Stoppbefehl, m",stop command,mando de parada,pysäytysohjaus,"commande d'arrêt, f",comando di fermata,停止コマンド,정지 명령,rozkaz zatrzymania stop,comando de paragem,ustavitveni ukaz,stoppkommando,停止命令
371-03-09,switching command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-09,أمر إيقاف,"Schaltbefehl, m",switching command,mando de conmutación,kytkentäohjaus,"commande de commutation, f",comando di organo a due posizioni,切替コマンド,스위칭 명령전환 명령,rozkaz przełączenia,comando de comutação,stikalni ukaz,kopplingskommando,切换命令
371-03-10,adjusting command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-10,أمر تبديل,"Stellbefehl, m",adjusting command,mando de posición,asetteluohjaus,"commande de position, f",comando di organo a più posizioni,調整コマンド,조정 명령,rozkaz nastawienia,comando de posição,nastavitveni ukaz,justeringskommando,调节命令
371-03-11,set point command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-11,أمر ضبط,"Sollwertstellbefehl, m",set point command,mando de valor de consigna,asetusarvo-ohjaus,"commande de valeur de consigne, f",comando di set-point,セットポイントコマンド,설정값 명령설정치 명령,rozkaz zachowania w pamięci,comando de valor de referênciacomando de valor imposto,postavitveni ukaz,börvärdeskommando,设定命令
