term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
466-01-01,electric line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-01,خط كهربائى,"elektrische Leitung, fLeitung, <zur Übertragung elektrischer Energie> f","electric lineline, <for transfer of electric energy>",línea (eléctrica),sähköjohtojohto,"ligne électrique, fligne, <pour le transfert de l'énergie électrique> f",linea (elettrica),電力線路,전기 선로,цахилгааны шугам,linje,"linia elektroenergetyczna, flinia, f","linha elétricalinha, <para transferência de energia elétrica>","вод, м јделектрични вод, м јд",elektrisk ledning,电力线路
466-01-02,overhead line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-02,خط هوائي,"Freileitung, f",overhead line,línea aérea,ilmajohto,"ligne aérienne, f",linea aerea,架空電線路,가공 선로,цахилгаан дамжуулах агаарын шугам,luftlinje,linia napowietrzna,linha aérea,"надземни вод, м јд",luftledning,架空线路
466-01-03,AC line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-03,خط تيار متردد,"Drehstromleitung, fWechselstromleitung, f",AC line,línea de corriente alterna,vaihtosähköjohto,"ligne à courant alternatif, f",linea in c.a.,交流線路,교류 선로,хувьсах гүйдлийн шугам,"vekselstraumslinje, AC-linje",linia prądu przemiennego,linha de corrente alternadalinha de corrente alterna,"вод наизменичне струје, м јдa.c. вод, м јд",växelströmsledning,交流线路
466-01-04,phase (of an AC line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-04,طور تيار مترددوجه تيار متردد,"Außenleiter, m",phase (of an AC line),fase (de una línea de corriente alterna),vaihejohdin,phase (d'une ligne à courant alternatif) f,fase,"相, <交流線路の>","상, <교류 선로>","фаз, <хувьсах гүйдлийн шугамын>",fase,przewód fazowy linii prądu przemiennegoprzewód fazowy,fase (de uma linha de corrente alternada)fase (de uma linha de corrente alterna),"фаза вода наизменичне струје, ж јдфаза a.c. вода, ж јд",fas,"相, <交流线路的>"
466-01-05,DC line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-05,خط تيار مستمر,"Gleichstromleitung, f",DC line,línea de corriente continua,tasasähköjohto,"ligne à courant continu, f",linea in c.c.,直流線路,직류 선로,тогтмол гүйдлийн шугам,"likestraumslinje, DC-linje",linia prądu stałego,linha de corrente contínua,"вод једносмерне струје, м јдd.c. вод, м јд",likströmsledning,直流线路
466-01-06,pole (of a DC line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-06,قطب( خط تيار مستمر),"Pol, <einer Gleichstromleitung> m",pole (of a DC line),polo (de una línea de corriente continua),napajohdintasasähköjohdon napajohdin,pôle (d'une ligne à courant continu) m,polo,"極, <直流線路の>","극, <직류 선로>전주, <직류 선로>비계, <직류 선로>기둥, <직류 선로>","туйл, <тогтмол гүйдлийн шугамын>",pol (i likestraumssystem),biegun linii prądu stałegobiegun,pólo (de uma linha de corrente contínua),"пол, <вода једносмерне струје> м јд",pol,"极, <直流线路的>"
466-01-07,circuit (of an overhead line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-07,دارة خط هوائي,"Stromkreis, <einer Freileitung> m",circuit (of an overhead line),circuito,virtapiiri,circuit (d'une ligne aérienne) m,circuito,"回線, <架空電線路の>","회선, <가공 선로>회로, <가공 선로>계통, <가공 선로>","хэлхээ, <цахилгаан дамжуулах агаарын шугамын>",kurs,tor linii napowietrznejtor,circuito (de uma linha aérea),"електрично коло, с јдсистем, <надземног вода> м јд",,"回路, <架空线路的>"
466-01-08,single circuit line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-08,خط أحادي الدارة,"Einfachleitung, fEinsystemleitung, f",single circuit line,linea de simple circuito,yksivirtapiirijohtoyksöisjohto,"ligne simple, f",linea semplice,１回線線路,일회선단선로,нэг хэлхээтэй шугам,enkeltkurslinje,linia jednotorowa,linha simples,"једносистемски вод, м јд",enkelledning,单回线
466-01-09,double circuit line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-09,خط مزدوج الدارة,"Doppelleitung, fZweisystemleitung, f",double circuit line,línea de doble circuito,kaksoisjohtokaksivirtapiirijohto,"ligne double, f",linea doppia,２回線線路,이회선이중 선로,хоёр хэлхээтэй шугам,dobbeltkurslinje,linia dwutorowa,linha dupla,"двосистемски вод, м јд",dubbelledning,双回线
466-01-10,multiple circuit line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-10,خط متعدد الدارات,"Mehrfachleitung, fMehrsystemleitung, f",multiple circuit line,línea de múltiple circuito,monivirtapiirijohto,"ligne multiple, f",linea multipla,多回線線路,다회선다중 선로,олон хэлхээтэй шугам,fleirkurslinje,linia wielotorowa,linha múltipla,вишесистемски вод,multippelledning,多回路
