term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
605-01-01,substation (of a power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-01,محطة فرعية (لنظام كهربائي),"Station (eines Netzes), f",substation (of a power system),subestación (de una red eléctrica),sähköasema,"poste (d'un réseau électrique), m",stazione (di una rete elettrica),変電所（電力系統の）,"변전소, <전력 시스템>","дэд станц, <эрчим хүчний системийн>",stacja elektroenergetyczna,posto (de uma rede eléctrica),postaja (električnega sistema),"постројење , <електроенергетског система> с јдподстаница, ж јд",icke kraftproducerande station,"变电站, <电力系统的>"
605-01-02,switching substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-02,محطة مفاتيح,"Schaltstation, f",switching substation,subestación de maniobrasubestación de seccionamiento,kytkinasemakytkemö,"poste de sectionnement, mposte de coupure, m",stazione di smistamento,切替変電所,개폐용 변전소,хуваарилах дэд станц,stacja rozdzielcza  rozdzielnia,posto de seccionamento (só com seccionadores)posto de corte (com imterruptor ou disjuntor),stikališčestikalna postaja,"разводно постројење, с јд",kopplingsstation,开关站
605-01-03,transformer substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-03,محطة تحويل فرعية,"Umspannstation, f",transformer substation,subestación de transformación,muuntoasemamuuntamo,"poste de transformation, m",stazione di trasformazione,変圧器変電所,변압용 변전소,трансформаторын дэд станц,stacja transformatorowa,subestação (MAT/AT ou AT/MT ou MT/MT)posto de transformação (MT/BT),transformatorska postaja,"трансформаторска станица, ж јд",transformatorstation,变压变电站
605-01-04,step-up substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-04,محطة رفع  الجهد,"Aufspannstation, f",step-up substation,subestación elevadora (de tensión),nostomuuntoasema,"poste élévateur (de tension), m",stazione elevatrice (di tensione),昇圧変電所,승압 변전소,өсгөх дэд станц,stacja podwyższająca napięcie  stacja podwyższająca,posto elevador (de tensão),postaja s transformacijo navzgor,"станица за повишење напона, ж јд",station för upptransformering,升压变电站
605-01-05,step-down substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-05,محطة خفض  الجهد,"Abspannstation, f",step-down substation,subestación reductora (de tensión),pudotusmuuntoasema,"poste abaisseur (de tension), m",stazione abbassatrice (di tensione),降圧変電所,강압용 변전소,бууруулах дэд станц,stacja obniżająca napięcie  stacja obniżająca,posto abaixador (de tensão),postaja s transformacijo navzdol,"станица за снижење напона, ж јд",station för nedtransformering,降压变电站
605-01-06,traction substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-06,محطة تغذية نظام جر,"Bahnunterwerk, n",traction substation,subestación de tracción,kiskoliikenteen syöttöasema,"sous-station de traction, f",sottostazione di trazione,トラクション変電所,전기 철도용 변전소,цахилгаан тээврийн дэд станцзүтгүүрийн дэд станц,stacja trakcyjna podstacja trakcyjna,subestação de tracção,napajalna postaja za vleko,"електровучна подстаница, ж јд",traktionsstation,牵引变电站
605-01-07,converter substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-07,محطة تغيير,"Umrichterstation, f",converter substation,subestación convertidora,muuttaja-asema,"poste de conversion, mstation de conversion (déconseillé) f",stazione di conversione,変換変電所,변환용 변전소,хувиргах дэд станц,stacja przekształtnikowa,posto conversor,pretvorniška postaja,"претварачка подстаница, ж јд",omformarstation,换流站
605-01-08,frequency converter substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-08,محطة تغيير التردد,"Frequenz-Umformerstation, f",frequency converter substation,subestación convertidora de frecuencia,taajuudenmuuttaja-asema,"poste de conversion de fréquence, m",stazione di conversione di frequenza,周波数変換変電所,주파수 변환용 변전소,давтамжийг хувиргах дэд станц,stacja przetwarzania częstotliwości,posto conversor de frequência,frekvenčnopretvorniška postaja postaja za pretvorbo frekvence,"подстаница за промену фреквенције, ж јд",frekvensomformarstation,变频站
605-01-09,manned substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-09,محطة  مأهولة,"besetzte Station, f",manned substation,subestación con personal de operación,päivystetty sähköasema,"poste avec personnel de conduite, m",stazione presidiata,有人変電所,유인 변전소,шуурхай ажиллагааны ажилтантай дэд станц,stacja z obsługą ruchowąstacja z obsługą,posto guarnecido (de pessoal),postaja s posadko,"подстаница са посадом, ж јдзапоседнута подстаница, ж јд",bemannad station,有人值班变电站
605-01-10,unmanned substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-10,محطة  غير مأهولة,"unbesetzte Station, f",unmanned substation,subestación sin personal de operación,päivystämätön sähköasema,"poste sans personnel de conduite, m",stazione non presidiata,無人変電所,무인 변전소,шуурхай ажиллагааны ажилтангүй дэд станц,stacja z obsługą dorywczą,posto desguarnecido (de pessoal),postaja brez posadke,"подстаница без посаде, ж јднезапоседнута подстаница, ж јд",obemannad station,无人值班变电站
605-01-11,permanently manned substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-11,"محطة مأهولة دائما""","ständig besetzte Station, f",permanently manned substation,subestación con personal de turno permanente,jatkuvasti päivystetty sähköasema,"poste à quart permanent, m",stazione con turni completi,常駐有人変電所,영구 유인 변전소,байнгын ажилтантай дэд станц,stacja ze stałą obsługą,posto guarnecido em permanência,postaja s stalno posadko,"подстаница са сталном посадом, ж јд",ständigt bemannad station,常时值班变电站
605-01-12,attended substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-12,محطة مراقبة,"zeitweise besetzte Station, f",attended substation,subestación asistida,työaikana päivystetty sähköasema,"poste gardienné, m",stazione con guardiaccia diurna,巡回変電所,운전원 대기 변전소,ажилтан очдог дэд станц,stacja z obsługą jednozmianową,posto assistido,postaja z občasno posadko,"подстаница са повременом посадом, ж јд",tidvis bemannad station,定时值班变电站
605-01-13,remotely controlled substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-13,محطة تحت التحكم عن بعد,"fernbediente Station, f",remotely controlled substation,subestacíón telecontrolada,kauko-ohjattu sähköasema,"poste téléconduit, m",stazione telecomandata,遠隔制御変電所,원격 제어 변전소,алсын удирдлагатай дэд станц,stacja stelemechanizowana stacja zdalnie sterowana stacja zdalnie nadzorowana,posto telecontroladoposto telecomandado,daljinsko vodena postaja,"подстаница са даљинским управљањем, ж јд",fjärrkontrollerad station,遥控变电站
605-01-14,master substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-14,محطة (تحكم) رئيسية,"Leitstation, f",master substation,subestación central de operación,pääasema,"poste de conduite centralisé, m",stazione pilota,主変電所,주 변전소주 변전소,удирдлагын дэд станц,stacja centralna  stacja nadzorująca stacja sterująca,posto de comandocentro de condução,vodilna postaja,"главна станица, ж јд",huvudstation,主控变电站
605-01-15,satellite substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-15,محطة تابعة,"Unterstation, f",satellite substation,subestación satélite,ala-asema,"poste satellite, m",stazione satellite,副変電所,위성 변전소,хиймэл дагуул дэд станц,stacja satelitarna  stacja podporządkowana,posto satélite,vodena postajasatelitska postaja,"""сателитска"" подстаница, ж јд",understation,子变电站
605-01-16,single busbar substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-16,محطة  أحادية قضبان التجميع,"Einfach-Sammelschienen-Station, f",single busbar substation,subestación con un juego de barras,yksikiskoasema,"poste à un jeu de barres, m",stazione a un sistema di sbarre,単一母線バー変電所,단일 모선 변전소,нэг систем шинтэй дэд станц,rozdzielnia jednosystemowa,posto com barramento único,postaja z zbiralko,"постројење са једноструким сабирницама, с јд",ställverk med en samlingsskena,单母线变电站
605-01-17,double busbar substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-17,محطة  ثنائية قضبان التجميع,"Doppel-Sammelschienen-Station, f",double busbar substation,subestación con dos juegos de barras,kaksoiskiskoasema,"poste à deux jeux de barres, m",stazione a due sistemi di sbarre,2重母線バー変電所,이중 모선 변전소,хоёр систем шинтэй дэд станц,rozdzielnia dwusystemowa,posto com barramento duplo,postaja z zbiralkama,"постројење са двоструким сабирницама, с јд",ställverk med två samlingsskenor,双母线变电站
605-01-18,triple busbar substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-18,محطة ثلاثية قضبان التجميع,"Dreifach-Sammelschienen-Station, f",triple busbar substation,subestación con tres juegos de barras,kolmoiskiskoasema,"poste à trois jeux de barres, m",stazione a tre sistemi di sbarre,3重母線バー変電所,삼중 모선 변전소,гурван систем шинтэй дэд станц,rozdzielnia trójsystemowa,posto com barramento triplo,postaja s tremi zbiralkami,"постројење са троструким сабирницама, с јд",ställverk med tre samlingsskenor,三母线变电站
605-01-19,ring substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-19,محطة  ذات قضبان تجميع  حلقية بسكاكين,"Ringsammelschienen-Station, f",ring substation,subestación con un juego de barras en anillo con seccionadores,erottimin jaettava rengaskiskoasema,"poste à jeu de barres en anneau à sectionneurs, m",stazione con sistema di sbarre ad anello con sezionatori,リング変電所,링 변전소고리 변전소,"секцийн хуурай салгууртай, битүү тойрог систем шинтэй дэд станц",rozdzielnia pierścieniowa,posto com um barramento em anel com seccionadores,postaja z obročno zbiralko,"постројење са прстенастом сабирницом, с јд",frånskiljarsektionerat ringställverk,环形母线变电站
605-01-20,mesh substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-20,محطة  ذات قضبان تجميع بقواطع حلقية,"Ringsammelschienen-Station mit Leistungsschalter, f",mesh substation,subestación con un juego de barras en anillo con interruptores automáticos,katkaisijoin jaettava rengaskiskoasema,"poste à jeu de barres en anneau à disjoncteurs, m",stazione con sistema di sbarre ad anello con interruttore,メッシュ変電所,그물망 변전소,"секцийн таслууртай, битүү тойрог систем шинтэй дэд станц",rozdzielnia wielobokowa,posto com um barramento em anel com disjuntores,postaja z obročno zbiralko z odklopniki,"постројење са прстенастом сабирницом и са прекидачима, с јд",brytarsektionerat ringställverk,多角形母线变电站
605-01-21,four-switch substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-21,محطة (حلقية) بأربع قواطع,"Vier-Schalter-Ringsammelschienen-Station, f",four-switch substation,subestación con un juego de barras en anillo con cuatro aparatos de corte,…..,"poste à jeu de barres en anneau à quatre appareils de coupure, m",stazione con sistema di sbarre ad anello con quattro interrutori,4切替器変電所,사 개폐기 변전소,дөрвөн таслуур бүхий дөрвөн өнцөгт схемтэй дэд станц,rozdzielnia czworobokowa,posto com um barramento em anel com quatro aparelhos de corte,postaja z obročno zbiralko s štirimi stikalnimi aparati,"постројење са четири склопке, с јд",,四开关变电站
605-01-22,three-switch mesh substation with bypass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-22,محطة (حلقية) بثلاثة قواطع,"Drei-Schalter-Ringsammelschienen-Station mit Umgehung, f",three-switch mesh substation with bypass,"subestación con un juego de barras en anillo con tres aparatos de corte, con paso directo",…..,"poste à jeu de barres en anneau à trois appareils de coupure avec shuntage, m",stazione con sistema di sbarre ad anello con 3 apparecchi di interruzione a bypass,バイパス機能付き3切替器メッシュ変電所,우회하는 삼 개폐기 그물망 변전소,"гурван таслууртай, битүү тойрог систем шинтэй дэд станц","rozdzielnia w układzie ""H"" z obejściem",posto com um barramento em anel com três aparelhos de corte e seccionador(es) de desvio,postaja z obročno zbiralko s tremi odklopniki in z vzporedno vejo,"постројење са прстенастом сабирницом са три склопке са премошћењем, с јд",,三开关桥形带旁路多角形母线变电站
605-01-23,four-switch mesh substation with mesh opening disconnectors,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-23,محطة حلقية بأربع قواطع مزودة بسكاكين فصل حلقية,"Vier-Schalter-Ringsammelschienen-Station mit zusätzlicher Längstrennung, f",four-switch mesh substation with mesh opening disconnectors,"subestación con un juego de barras en anillo con cuatro aparatos de corte
y seccionadores de seccionamiento de barras",…..,"poste à jeu de barres en anneau à quatre appareils de coupure avec sectionneurs de sectionnement, m",stazione con sistema di sbarre ad anello con quattro interrutori e sezionatori di sezionamento,メッシュ開路断路能付き4切替器メッシュ変電所,그물망 개방 단로기가 있는 4개폐기 그물망 변전소,"дөрвөн таслууртай, салгууруудтай, битүү тойрог систем шинтэй дэд станц",rozdzielnia wielobokowa o czterech wyłącznikach z odłącznikami sekcjonującymi,posto com um barramento em anel com quatro aparelhos de corte e seccionadores,postaja z obročno zbiralko s štirimi odklopniki in z vzdolžnimi ločitvami,"постројење са правоуганом сабирницом са четири склопке са растављачима, с јд",,带隔离开关的四开关多角形母线变电站
605-01-24,two-breaker arrangement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-24,ترتيب ثنائي القاطع,"Zwei-Leistungsschalter-Anordnung, f",two-breaker arrangement,esquema con dos interruptores automáticos por salida,kaksikatkaisijajärjestelmä,"schéma à deux disjoncteurs par départ, m",disposizione a due interruttori per ogni linea,2遮断器配置,2차단기 배열,нэг хэлхээнд хоёр таслууртай схем,układ rozdzielni dwuwyłącznikowy,esquema com dois disjuntores,dvoodklopniška razporeditev,"шема са два прекидaча, ж јд",dubbelbrytarställverk,双断路器接结
605-01-25,one-and-a-half breaker arrangement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-25,ترتيب بقاطع ونصف,"Anderthalb-Leistungsschalter-Anordnung, f",one-and-a-half breaker arrangement,esquema con un interruptor y medio por salida,puolitoistakatkaisijajärjestelmä,"schéma à un disjoncteur et demi par départ, m",disposizione a tre interruttori per ogni coppia di linea,オン＆ハーフ遮断器配置,일과 이분의 일 차단기 배열,нэг ба хагас таслууртай схем,układ rozdzielni półtorawyłącznikowy,esquema com um disjuntor e meio,enoinpolodklopniška razporeditev,"шема са једним и по прекидачем, ж јд",en och en halvbrytarställverk,一个半断路器接线二分之三断路器接线
605-01-26,associated phase layout,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-26,مخطط بأطوار مترابطة,"Anordnung nach Stromkreisen, f",associated phase layout,disposición de fases asociadas,virtapiirikohtainen ryhmittely,"disposition à phases associées, f",disposizione a fasi raggruppate,関連位相レイアウト,연관 상 배열,гурван фазын зохион байгуулалт,rozmieszczenie faz skojarzone,disposição com fases associadas,razporeditev po tokokrogih,"распоред у којем су фазе придружене, м јд",trefas samlat utförande,联相布置
605-01-27,separated phase layout,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-27,مخطط بأطوار منفصلة,"Anordnung nach phasengleichen Außenleitern, f",separated phase layout,disposición de fases separadas,vaihekohtainen ryhmittely,"disposition à phases séparées, f",disposizione a fasi separate,分離位相レイアウト,분리 상 배열,фаз тус бүрийн зохион байгуулалт,rozmieszczenie faz rozdzielone,disposição com fases separadas,razporeditev po fazah,"распоред у којем су фазе одвојене, м јд",fasvis samlat utförande,分相布置
605-01-28,mixed phase layout,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-01-28,مخطط بأطوار مختلطة,"gemischte Anordnung, f",mixed phase layout,disposición de fases mixtas,vaiheiden sekaryhmittely,"disposition à phases mixtes, f",disposizione a fasi miste,混合位相レイアウト,혼합 상 배열,фазын холимог зохион байгуулалт,rozmieszczenie faz mieszane,disposição com fases mistas,kombinirana razporeditev,"распоред у којем су мешовито распоређене фазе, м јд",,混相布置
605-02-01,busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-01,قضيب (التجميع),"Sammelschienenleiter, m",busbar,barra,vaihekisko,"barre omnibus, f",sbarre omnibus,母線,모선 도체모선,шин,szyna zbiorcza,barra,zbiralni vodnik,"сабирница, ж јд",samlingsskeneledare,母线
605-02-02,busbars,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-02,قضبان التجميع,"Sammelschiene, f",busbarsbusbar (commonly called),juego de barras,kiskokokoomakisko,jeu de barres (omnibus) m,sistema di sbarre,母線バー群,모선 막대,систем шин,system szyn zbiorczychszyny zbiorcze,barramento,zbiralka,"сабирнице, ж мн",samlingsskena,母线排
605-02-03,main busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-03,قضيب تجميع رئيس,"Hauptsammelschiene, f",main busbar,juego de barras principal,pääkisko,"jeu de barres principal, m",sistema di sbarre principale,主母線バー,주 모선,үндсэн систем шин,system szyn zbiorczych główny szyny zbiorcze główne,barramento principal,glavna zbiralka,"главна сабирница, ж јд",huvudsamlingsskena,工作母线
605-02-04,reserve busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-04,قضيب تجميع احتياطي,"Hilfssammelschiene, f",reserve busbar,juego de barras de reserva,varakisko,"jeu de barres de réserve, m",sistema di sbarre di riserva,予備母線バー,예비 모선,нөөц систем шин,system szyn zbiorczych rezerwowyszyny zbiorcze rezerwowe,barramento de reserva,pomožna zbiralka,"резервна сабирница, ж јд",reservsamlingsskena,备用母线
605-02-05,transfer busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-05,قضيب تجميع للتحويل,"Umgehungssammelschiene, f",transfer busbar,juego de barras de transferencia,apukisko,"jeu de barres de transfert, m",sistema di sbarre di trasferimento,転送母線バー,전달 모선,тойруу систем шин,system szyn zbiorczych obejściowy  szyny zbiorcze obejściowe,barramento de transferência,obhodna zbiralka,"обилазна сабирница, ж јд",hjälpsamlingsskena,旁路母线
605-02-06,switchable busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-06,قضيب تجميع قابل للتجزئة,"Sammelschiene mit Längskupplung, f",switchable busbar,uego de barras seccionable (con interruptor o interruptor automático),pitkittäiskatkaisijakisko,"jeu de barres tronçonnable, m",sistema di sbarre con interruzione,開閉可能母線バー,개폐 가능 모선,секцийн таслууртай систем шин,system szyn zbiorczych sekcjonowany wyłącznikiem,barramento interruptível,zbiralka z vzdolžnim odklopnikom,"сабирница секционисана прекидачем, ж јд",brytarsektionerad samlingsskena,有载分段母线
605-02-07,disconnectable busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-07,قضيب تجميع قابل للفصل,"Sammelschiene mit Längstrennung, f",disconnectable busbar,juego de barras seccionable con seccionador,pitkittäiserotinkisko,"jeu de barres sectionnable, m",sistema di sbarre sezionabile,切断可能母線バー,분리 가능 모선,секцийн салгууртай систем шин,system szyn zbiorczych sekcjonowany odłącznikiem,barramento seccionável,zbiralka z vzdolžnim ločilnikom,"сабирница секционисана растављачем, ж јд",frånskiljarsektionerad samlingsskena,无载分段母线
