term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
485-01-01,catalyst,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-01,مادة محفزه للتفاعل الكِيمْيَائِيّ,"Katalysator, m",catalyst,"catalizador, m","catalyseur, m",catalizzatore,触媒,촉매촉매제,"katalizator, m",catalisador,催化剂
485-01-02,electrocatalyst,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-02,مادة محفزه للتفاعل الكِهروكيمْيَائِيّ,"Elektrokatalysator, m",electrocatalyst,"electrocatalizador, m","électrocatalyseur, m",elettrocatalizzatore,電極触媒,전극촉매,"elektrokatalizator, m",eletrocatalisador,电催化剂
485-01-03,catalyst loading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-03,الكثافة السطحيه للمادة المحفزه,"Katalysatorbeladung, f",catalyst loading,"carga de catalizador, f","charge en catalyseur, f",carico di catalizzatore,触媒量,촉매 담지량,"ładowanie katalizatora, verbnaładowanie katalizatora, n",carregamento em catalisador,催化剂担载量
485-01-04,catalyst poisoning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-04,تسمم المادة المحفزه للتفاعل الكِيمْيَائِيّ,"Katalysatorvergiftung, f",catalyst poisoning,"envenenamiento del catalizador, m","empoisonnement du catalyseur, m",avvelenamento del catalizzatore,触媒被毒,촉매 피독촉매제 중독,"zatrucie katalizatora, n",envenenamento de catalisador,催化剂中毒
485-01-05,catalyst sintering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-05,تلبد المادة المحفزه للتفاعل الكِيمْيَائِيّ,"Katalysator-Sintern, n",catalyst sintering,"sinterización del catalizador, f","agglomération de catalyseur, f",sinterizzazione del catalizzatore,触媒焼結,촉매 소결,"spiekanie katalizatora, n",aglomeração de catalisador,催化剂聚结
485-01-06,electrocatalyst support,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-01-06,مادة داعمة للمادة المحفزه للتفاعل الكِهروكيمْيَائِيّ,"Elektrokatalysator-Träger, m",electrocatalyst support,"soporte de electrocatalizador, m","support d'électrocatalyseur, m",supporto dell'elettrocatalizzatoremateriale di supporto dell'elettrocatalizzatore,電極触媒担持体,전극촉매 지지체,"nośnik elektrokatalizatora, m",suporte de eletrocatalisador,电催化剂载体
485-02-01,"electrode, <in fuel cells>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-02-01,"إلكترود, <فى خلايا الوقود>","Elektrode, <in Brennstoffzellen> f","electrode, <in fuel cells>","electrodo, m","électrode, <pour les piles à combustible> f","elettrodo, <in celle a combustibile>","電極, <燃料電池における>","전극, <연료전지>","elektroda, <ogniwa paliwowego> f","elétrodo, <em pilhas de combustível>","电极, <燃料电池中>"
485-02-02,gas diffusion electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-02-02,إلكترود لإنتشار الغاز,"Gasdiffusionselektrode, f",gas diffusion electrode,"electrodo de difusión de gas, m","électrode de diffusion du gaz, f",elettrodo a diffusione gassosa,ガス拡散電極,기체 확산 전극,"dyfuzyjna elektroda gazowa, f",elétrodo de difusão gasosa,气体扩散电极
485-02-03,ribbed electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-02-03,إلكترود ذو تجاويف,"gerippte Elektrode, f",ribbed electrode,"electrodo acanalado, melectrodo estriado, m","électrode striée, f",elettrodo scanalato,リブ付電極,이랑형 전극,"elektroda z rowkami, <do przepływu gazu> felektroda z kanalikami, <dla przepływu gazu> f",elétrodo nervurado,带槽电极
485-02-04,"anode, <in fuel cells>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=485-02-04,"مصعد, <في خلايا الوقود>","Anode, <in Brennstoffzellen> f","anode, <in fuel cells>","ánodo, m","anode, <dans les piles à combustible> f","anodo, <in celle a combustibile>","負極, <燃料電池における>燃料極","연료극, <연료전지>","anoda, f","ânodo, <em pilhas de combustível>","阳极, <燃料电池中>"
