term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,zh
417-01-01,"degrees of freedom, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-01,"درجات حرية الحركة, جمع","Freiheitsgrade, m pl","degrees of freedom, pl","grados de libertad, m pl","degrés de liberté, m pl",自由度,자유도,"stopnie swobody, m pl","graus de liberdade, pl",自由度
417-01-02,heave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-02,حركة عموديةحركة رفع وخفض,"Heben, nSenken, n",heave,"arfada, f","pilonnement, m",ヒーヴ上下揺れ,상하동요,"kołysanie pionowe, n",movimento vertical,垂荡
417-01-03,pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-03,حركة دوامبة,"Neigen, nStampfen, n",pitch,"cabeceo, m","tangage, m",ピッチ縦揺れ,종동요,"obrót, <wokół osi sway> m",inclinação,纵摇
417-01-04,roll,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-04,تدحرج,"Rollen, n",roll,"balanceo, m","roulis, m",ロール横揺れ,횡동요,"obrót, <wokół osi surge> m",rolamento,横摇
417-01-05,surge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-05,تموج,"Wogen, n",surge,"estrepada, flargada, f","cavalement, m",サージ前後揺れ,전후동요,"równoległy, <ruch do osi głównej> adj",surto,纵荡
417-01-06,sway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-06,تمايل,"Schwoien, n",sway,"vaivén, mderiva, f","embardée, f",スウェイ左右揺れ,좌우동요,"kołysanie, <prostopadłe do gównej osi> n",oscilação,横荡
417-01-07,yaw,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-07,دوران حول محور الرفع,"Gieren, n",yaw,"guiñada, f","lacet, m",ヨー船首揺れ,선수동요,"obrót, <wokół osi heave> m",´guinada,艏摇
417-01-08,metocean,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-08,الأرصاد الجوية للمحيطات,"Metozean, m",metoceanmet-ocean,"meteoceánico-a, <normalmente referido a condiciones y utilizado como adjetivo> m/f",océan météorologique,気象海象海洋気象,대기해양,"meteorologia i oceanografia, fmet-ocean, <skrót od meteorologia i oceanografia> m",oceano meteorológico,海洋水文气象条件
417-01-09,resource characterization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-09,تحديد خصائص بيانات الأرصاد,"Ressourcencharakterisierung, fCharakterisierung der Energiequelle, f",resource characterization,"caracterización del recurso, f","caractérisation des ressources, f",資源特性資源の特徴付け,자원 특성,"charakterystyka zasobów, f",caracterização dos recursos,资源特征
417-01-10,"resource assessment, <in marine energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-10,"تقييم بيانات الارصاد, <في الطاقة البحرية>","Potentialermittlung, <in Meeresenergie> f","resource assessment, <in marine energy>","evaluación del recurso, <en energía marina> f","évaluation des ressources, <en énergie hydraulique> f","資源評価, <海洋エネルギー>資源の評価","자원 평가, <해양에너지>","ocena zasobów, <w energetyce morskiej> f","apreciação dos recursos, <em energia hidraúlica>","资源评估, <海洋能>"
417-01-11,"practical resource, <in marine energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-11,"مصادر بيانات الأرصاد العملية, <في الطاقة البحرية>","praktisches Potential, <in Meeresenergie> n","practical resource, <in marine energy>","recurso práctico, <en energía marina> m","ressource pratique, <en énergie hydraulique> f","利用可能資源量, <海洋エネルギー>","실용적 자원량, <해양에너지>","realne zasoby, <w energetyce morskiej> m plzasoby możliwe do wykorzystania, <w energetyce morskiej> m pl","recurso prático, <em energia hidraúlica>","实际资源, <海洋能>"
417-01-12,"technical resource, <in marine energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-12,"مصادر بيانات الأرصاد التقنية, <في الطاقة البحرية>","technisches Potential, <in Meeresenergie> n","technical resource, <in marine energy>","recurso técnico, <en energía marina> m","ressource technique, <en énergie hydraulique> f","技術的利用可能資源量, <海洋エネルギー>","기술적 자원량, <해양에너지>","zasoby techniczne, <w energetyce morskiej> m pl","recurso técnico, <em energia hidraúlica>","技术资源, <海洋能>"
