term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
721-01-01,teleprocessing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-01,معالجة عن بعد,"Datenfernverarbeitung, f",teleprocessing,teleinformáticateleprocesoteletratamiento,"téléinformatique, ftélétraitement, m",teleinformatica,テレプロセッシング,원격 처리,teleinformatyka,teleinformáticateleprocessamento,fjärrdatabehandling,
721-01-02,data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-02,بيانات,"Daten, pl",data,datos,"données, f pl",dati,データ,자료데이터,dane,dados,data,
721-01-03,data communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-03,اتصالات البيانات,"Datenkommunikation, f",data communicationdata transmission (deprecated in this sense),comunicación de datos,"communication de données, ftransmission de données (terme déconseillé dans ce sens) f",comunicazione dati,データ通信,데이터 통신자료통신,komunikacja danychteledacja,comunicação de dados,datakommunikation,
721-01-04,data transmission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-04,نقل  البيانات,"Datenübertragung, f",data transmission,transmisión de datos,"transmission de données, f",trasmissione dati,データ伝送,데이터 전송,transmisja danych,transmissão de dados,dataöverföring,
721-01-05,telematics (services),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-05,خدمات الاتصال عن بعد,"Telematikdienste, m, plTelematik, f",telematics (services),telemática (servicios de),"(services de) télématique, f",telematicaservizi telematici,テレマティックス,텔레매틱스 서비스,telematyka,(serviços de) telemática,telematik,
721-01-06,telegraphy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-06,إبراق,"Telegrafie, f",telegraphy,telegrafía,"télégraphie, f",telegrafia,電信,전신,telegrafia,telegrafia,telegrafi,
721-01-07,alphabetic telegraphy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-07,إبراق أبجدى,"Zeichentelegrafie, f",alphabetic telegraphycharacter telegraphy,telegrafía alfabética,"télégraphie alphabétique, f",alfabeto telegrafico,アルファベット電信,알파벳 전신문자 전신,telegrafia alfabetowa telegrafia znakowa,telegrafia alfabética,teckentelegrafi,
721-01-08,telewriting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-08,كتابة عن بعد,"Bildfernschreiben, n",telewritingteleautography,teleautografíateleescritura,"téléécriture, ftéléautographie, <d'un document graphique> f",telescrittura,手書き通信,도형 문자 통신,"teleskrypcja, fTERMIN NIEZALECANY: telepisanie",tele-escritatele-autografia,teleautografi,电写电传打字
721-01-09,facsimile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-09,ناسوخ ،بريد مصوّر,"Faksimile, nFernkopieren, n",facsimiletelecopy,facsímiltelecopia,"télécopie, ftélégraphie fac-similé (terme désuet) ffac-similé (terme déconseillé dans ce sens) m",facsimiletelecopia,ファクシミリ,모사 전송 장치팩시밀리원격복사,telekopiasymilografia,telecópiatelefax,telefaksimil,
721-01-10,document facsimile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=721-01-10,ناسوخ وثائق,"Schwarz-Weiß-Faksimile, n",document facsimileblack and white facsimile,telecopia bivalentetelecopia contrastada,"télécopie contrastée, ftélécopie bivalente, f",facsimile a due livelli,文書ファクシミリ,서류 모사전송흑백 모사전송,telekopia czarno-biała telekopia dwuwartościowa,telecópia contrastadatelecópia a dois níveis,tvåtonsfaksimil,
